turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042908293953415e-8	1.6115840823421875e-9	3.8499871731240865e-6	1.1281249147272375e-8	1.0034676489862682e-9	3.959997587408601e-5
1.0	2.0908978461810444e-8	1.6247522900778001e-9	3.849987607450152e-6	1.128563808318638e-8	1.005118489052626e-9	3.959997591965709e-5
2.0	2.1016262161597047e-8	1.623155234908865e-9	3.849988242670326e-6	1.1297276162632087e-8	1.0049560015033368e-9	3.959997613482035e-5
3.0	2.085890215297862e-8	1.631796537142161e-9	3.84998846573758e-6	1.1315516308687812e-8	1.0070329469246549e-9	3.959997578524975e-5
4.0	2.0735293213985478e-8	1.644863232945871e-9	3.8499879944223195e-6	1.1326590582211249e-8	1.0077505927116423e-9	3.959997617442574e-5
5.0	2.1341432227706624e-8	1.6346457238188355e-9	3.8499875191310704e-6	1.1336104912555578e-8	1.0080639761885702e-9	3.9599975727634084e-5
6.0	2.19175177030273e-8	1.6427963162228101e-9	3.8499867920741255e-6	1.1346731920881928e-8	1.0093059589221395e-9	3.9599975919639424e-5
7.0	2.154102435506948e-8	1.6366511669429772e-9	3.8499876596083245e-6	1.1352406879737334e-8	1.0089400696745164e-9	3.959997557373966e-5
8.0	2.1346084589924327e-8	1.6382474129549731e-9	3.849988041524587e-6	1.1350224479497332e-8	1.0100792575710033e-9	3.959997542811971e-5
9.0	2.171180642214505e-8	1.6500747248681415e-9	3.849987885860515e-6	1.1343426147732672e-8	1.0097672608668337e-9	3.9599975589621835e-5
10.0	2.2466725150734215e-8	1.643714669353142e-9	3.849988113989873e-6	1.1330405872315573e-8	1.011198490012301e-9	3.959997522974384e-5
11.0	2.232962555045004e-8	1.6500991864464662e-9	3.849987717325704e-6	1.1308337753538004e-8	1.0114387913094366e-9	3.959997557360875e-5
12.0	2.184228802259473e-8	1.6516349488934988e-9	3.849987178689026e-6	1.1299936306341845e-8	1.0122189055449317e-9	3.9599975013802455e-5
13.0	2.1925952886109223e-8	1.6500736856496046e-9	3.849987757324543e-6	1.1289913039738401e-8	1.0125016993951714e-9	3.959997517291275e-5
14.0	2.235116741730655e-8	1.6540518658925837e-9	3.849988391183452e-6	1.1286352224080648e-8	1.0125203351581862e-9	3.959997496535475e-5
15.0	2.245703152260463e-8	1.6498432163240576e-9	3.849987241338877e-6	1.128620249048754e-8	1.012519917977398e-9	3.959997485706911e-5
16.0	2.2200650046699705e-8	1.6484993215208515e-9	3.849986983716809e-6	1.1294165324671939e-8	1.0114914588585752e-9	3.959997472540993e-5
17.0	2.209614372878007e-8	1.6482759638588855e-9	3.8499878754020515e-6	1.1302786244093261e-8	1.011680066515882e-9	3.959997425723951e-5
18.0	2.217001264384799e-8	1.6489174682167614e-9	3.849987577625051e-6	1.1315262009695926e-8	1.0101142735539407e-9	3.959997425052501e-5
19.0	2.221528262216723e-8	1.6511562703165679e-9	3.849988158341758e-6	1.1326179682491355e-8	1.0102070489195086e-9	3.959997392887593e-5
20.0	2.2226253207170962e-8	1.653209210197511e-9	3.849987983113914e-6	1.13376868270388e-8	1.0091431926307158e-9	3.959997404121954e-5
21.0	2.22606314060145e-8	1.6526561679048339e-9	3.849986739989156e-6	1.1338626091756587e-8	1.0091536470885152e-9	3.95999740236327e-5
22.0	2.2208142534660353e-8	1.6532128412216378e-9	3.849986853672983e-6	1.1344487249378123e-8	1.008614817098841e-9	3.9599973969218486e-5
23.0	2.216635440171933e-8	1.652462279244553e-9	3.849987673850665e-6	1.1336275517647701e-8	1.0083473078965971e-9	3.959997434980353e-5
24.0	2.2142978501157775e-8	1.651382858350083e-9	3.849987895876607e-6	1.1330660295238621e-8	1.0083395736622191e-9	3.9599973986849674e-5
25.0	2.2252601944768058e-8	1.650916229089698e-9	3.849988050509621e-6	1.1320961803921197e-8	1.007738296602839e-9	3.959997446061676e-5
26.0	2.229920623162199e-8	1.6523071839368786e-9	3.849987523788684e-6	1.1313576167942682e-8	1.0081767945366062e-9	3.959997404720711e-5
27.0	2.2233091871247353e-8	1.6520839030296002e-9	3.849986517442598e-6	1.1305284265788065e-8	1.0075044268048771e-9	3.959997465236027e-5
28.0	2.2194155522161613e-8	1.6526670560537256e-9	3.849986407341248e-6	1.130480362758583e-8	1.0083594372102128e-9	3.9599974479116146e-5
29.0	2.218991075005619e-8	1.6549017671070365e-9	3.849987534707963e-6	1.1302993868770387e-8	1.0081237526585932e-9	3.9599975046430143e-5
30.0	2.2239603525912118e-8	1.654964089191723e-9	3.8499883005240854e-6	1.1309244375104612e-8	1.0089420332271024e-9	3.959997503598062e-5
31.0	2.2275756803626753e-8	1.6548334159915964e-9	3.8499881817958796e-6	1.1314030248339579e-8	1.0092616628907121e-9	3.9599975292846854e-5
32.0	2.225209259368195e-8	1.6542739583506027e-9	3.849987443996527e-6	1.1321501401594312e-8	1.0095624765852494e-9	3.959997537666792e-5
33.0	2.2249276670962983e-8	1.654732080724127e-9	3.849987114146298e-6	1.1329670408644144e-8	1.0102749518445637e-9	3.959997518426353e-5
34.0	2.2190414892252994e-8	1.6544170300847982e-9	3.849986444529315e-6	1.13308778854307e-8	1.00995622452511e-9	3.959997549811893e-5
35.0	2.222939121009862e-8	1.6555036522030397e-9	3.849986819694033e-6	1.133631553172277e-8	1.0106038827361041e-9	3.9599974968974307e-5
36.0	2.2276276439036287e-8	1.6563381424045994e-9	3.849987721251718e-6	1.1329969839971366e-8	1.0100883003688672e-9	3.959997532058776e-5
37.0	2.2291854204939822e-8	1.6566485095668477e-9	3.8499883786581916e-6	1.1329992337539288e-8	1.0104303037823413e-9	3.9599974790489116e-5
38.0	2.2240764260425677e-8	1.6569141918393104e-9	3.8499878577470635e-6	1.132091401376382e-8	1.0102289380834827e-9	3.9599974968416003e-5
39.0	2.221893244264115e-8	1.6563648761848665e-9	3.849987208397905e-6	1.1319755355853178e-8	1.0105409345327363e-9	3.9599974718995124e-5
40.0	2.226297911066336e-8	1.6565325637103893e-9	3.849986947242649e-6	1.131092361113249e-8	1.01065141244332e-9	3.959997484230264e-5
41.0	2.229812265423103e-8	1.658149956404414e-9	3.849986220900663e-6	1.1313063222397351e-8	1.0106531331693782e-9	3.9599974848641445e-5
42.0	2.2257402838347062e-8	1.6564899279343634e-9	3.849986922778172e-6	1.1307217969889241e-8	1.0107249741783796e-9	3.959997493702164e-5
43.0	2.224504477234738e-8	1.6585003877905196e-9	3.849988075133056e-6	1.1314894982982242e-8	1.0098976668001934e-9	3.959997498944808e-5
44.0	2.2242716550292482e-8	1.6590395550112044e-9	3.8499884574554855e-6	1.1315010138312823e-8	1.0097602089898257e-9	3.959997505972994e-5
45.0	2.2290116697993093e-8	1.6590814226751322e-9	3.849987561041043e-6	1.132345027861455e-8	1.0087919492576647e-9	3.9599975048295676e-5
46.0	2.2239377244758865e-8	1.6590804050782555e-9	3.849986874424819e-6	1.1326270098491547e-8	1.0088239569365123e-9	3.959997505150109e-5
