aspect_ratio	Y_measured	q_sigma
0.05	1.252191242179701	0.3100141694142542
0.09	1.2657142744011751	0.3100141920790171
0.2	1.237255015489136	0.3100141454508281
0.5	1.2021090599688034	0.3100141633682625
1.0	1.1883888442914992	0.31001418185255686
