# Octopus per-turn geometric emittance, aspect=1.0 xi=0.005
turn	ex	ey
328	2.0435321372740545e-8	2.043031576030183e-8
336	2.0434635669273207e-8	2.0431910107491487e-8
344	2.043234489627959e-8	2.04342568373699e-8
352	2.0430882187328256e-8	2.0435882934999374e-8
360	2.04318918213045e-8	2.043470802538343e-8
368	2.0434474320765685e-8	2.0432880418362195e-8
376	2.0436326402902653e-8	2.0430866683077607e-8
384	2.0435895075997333e-8	2.0431009760775075e-8
392	2.043374809330684e-8	2.043319819257978e-8
400	2.0431959536093175e-8	2.043630359538258e-8
408	2.0432480217798255e-8	2.0435246721000817e-8
416	2.0435160446519836e-8	2.043294967329645e-8
424	2.0437609302353786e-8	2.043157967428912e-8
432	2.0437920604662673e-8	2.0431646533769045e-8
440	2.043607196344186e-8	2.043303780581177e-8
448	2.0433915215637875e-8	2.0435061093593998e-8
456	2.0433432232206714e-8	2.043691114197108e-8
464	2.0434978815875535e-8	2.0433623198905744e-8
472	2.043716996809779e-8	2.0430944100567356e-8
480	2.043781484424454e-8	2.043119272264247e-8
488	2.0436254641034852e-8	2.043356363123787e-8
496	2.04339144651594e-8	2.043470052151256e-8
504	2.0432685730978628e-8	2.0435668563992774e-8
512	2.0433434471885788e-8	2.0436056500166715e-8
520	2.0435440688762954e-8	2.043145002556053e-8
528	2.0436492894372398e-8	2.0430532266320422e-8
536	2.0435495311038783e-8	2.043259255548738e-8
544	2.0433410466747725e-8	2.0434856036659498e-8
552	2.043197100503476e-8	2.0435217267294048e-8
560	2.043244540363504e-8	2.043476200704993e-8
568	2.043465356933177e-8	2.043376061641273e-8
576	2.043644359864411e-8	2.0430896675723044e-8
584	2.043589060720638e-8	2.043144640456729e-8
592	2.04338124092801e-8	2.043448577361047e-8
600	2.0432315647810945e-8	2.0435841942105326e-8
608	2.043262082038335e-8	2.0434513091085216e-8
616	2.0434720485783825e-8	2.043389726351304e-8
624	2.0436919190411276e-8	2.0432262913770162e-8
632	2.0437036227071707e-8	2.0431600380919232e-8
640	2.0434826723547705e-8	2.043390214612025e-8
648	2.0432644970345424e-8	2.0435771128421863e-8
656	2.0432508149751548e-8	2.0435390627984125e-8
664	2.0434546428005786e-8	2.043363969293962e-8
672	2.043701348940536e-8	2.0432645615168032e-8
680	2.0437813484141236e-8	2.0431523450759913e-8
688	2.0436123529095697e-8	2.0433617011564068e-8
696	2.043356199879928e-8	2.04357419566231e-8
704	2.0432647465928662e-8	2.0435637843954792e-8
712	2.0434171628820767e-8	2.0434472821883637e-8
720	2.0436776649145108e-8	2.0432475817263792e-8
728	2.0438118567376174e-8	2.0431340230149928e-8
736	2.04367602923566e-8	2.0432489942179762e-8
744	2.0434148443745996e-8	2.0435364587277318e-8
752	2.0432753731832806e-8	2.043629995315164e-8
760	2.0433876996734675e-8	2.043509839984134e-8
768	2.0436460506343464e-8	2.0432662504334666e-8
776	2.0438307844493118e-8	2.04308546256207e-8
784	2.0437564921338222e-8	2.043149766231027e-8
