# Kick-error systematic/fluctuation split, 81x81 field grid +-4 sigma,
# median over field points, normalized by peak exact kick.
# R independent source realizations per row.
family	grid	deposit	n_macro	R	bias	fluctuation	total_median	bias_floor_bootstrap	bias_floor_rayleigh	bias_floor_bootstrap_uncentered
round	64	CIC	100000	100	0.00045234224959997204	0.0013245650501634068	0.00116172650372789	0.00010509398541071828	0.00011027727402918716	0.00011561902576981268
round	64	TSC	100000	100	0.0005022060493473718	0.0013064043537425317	0.0011566876824336482	0.00010360898980743078	0.00010876529687448369	0.0001168789411383298
round	128	CIC	100000	100	0.00013988072561280275	0.0013884816368544834	0.0011486647999258048	0.0001096710363490609	0.00011559867892709881	0.0001087133156086552
round	128	TSC	100000	100	0.00014955883901012542	0.0013785266587885532	0.0011433774838087083	0.00010890405124441415	0.0001147698726378224	0.00010863048451442582
round	256	CIC	100000	100	0.0001074180093904456	0.001451992412657746	0.0012008905263992834	0.0001138341121419284	0.0001208862978524197	0.00011288277144138506
round	256	TSC	100000	100	0.00010704152181405752	0.0014423241420857022	0.0011927349948011312	0.0001133521854187052	0.00012008136152775217	0.00011201327839784913
flat11	64	CIC	100000	100	0.0012365213889636512	0.002573737161869985	0.0025660737839005845	0.00016802039214759175	0.00021427767420227818	0.00020598604063469484
flat11	64	TSC	100000	100	0.0017773983513923147	0.002486065450930768	0.002708820997305263	0.00016135852985357422	0.0002069785254812252	0.00021775603982665385
flat11	128	CIC	100000	100	0.00030580368413281214	0.0028332167324995796	0.002352220791021778	0.00018968228274755152	0.00023588076550516704	0.00019259682182262835
flat11	128	TSC	100000	100	0.00039374930865591283	0.0027861284311681924	0.0023409490560994824	0.0001868100328873551	0.00023196040726466407	0.00018889680711890272
flat11	256	CIC	100000	100	0.00022320137047988496	0.0030264514541523844	0.002483955255922252	0.00020583073423318722	0.0002519686113599487	0.00020973945312631565
flat11	256	TSC	100000	100	0.00020973725764626634	0.0029764912418989513	0.0024562663058302777	0.0002027201356365595	0.0002478091508513474	0.00020673910958755547
