# Kick-error systematic/fluctuation split, 81x81 field grid +-4 sigma,
# median over field points, normalized by peak exact kick.
# R independent source realizations per row.
family	grid	deposit	n_macro	R	bias	fluctuation	total_median	bias_floor_bootstrap	bias_floor_rayleigh	bias_floor_bootstrap_uncentered
round	64	CIC	100000	100	0.00048628007333734164	0.0013598962179460783	0.0012197560829344224	0.00010656310620582384	0.0001132187866946921	0.00011337182773792342
round	64	TSC	100000	100	0.0005312278116729043	0.0013403612161105281	0.0012262701910856412	0.00010560949829940128	0.00011159239110897596	0.00011480079195393009
round	128	CIC	100000	100	0.00019677655257792484	0.0014288580731674837	0.0012002144531610968	0.00011002565393527814	0.00011896023775054916	0.00010967150002171652
round	128	TSC	100000	100	0.0002038269015613856	0.0014168613669632397	0.0011856175923965551	0.00010945389314652894	0.00011796144644364441	0.00010852985906455646
round	256	CIC	100000	100	0.00016657852204737838	0.0014913327261842167	0.0012491583103515377	0.00011522505834266408	0.00012416159379550497	0.00011476032409231605
round	256	TSC	100000	100	0.00016561326017007835	0.0014837505996217418	0.0012410339717816045	0.00011426381922490349	0.000123530340352308	0.00011384526922224563
flat11	64	CIC	100000	100	0.0013057498582232554	0.0024360667166014966	0.002456020725986318	0.00016584850330262976	0.00020281585779943683	0.00019372926478167352
flat11	64	TSC	100000	100	0.0017368980892480317	0.002343105506849004	0.0026109694472669057	0.00016025189706349964	0.00019507632941561328	0.0002026169230649774
flat11	128	CIC	100000	100	0.0003125161497639145	0.0026929310416380133	0.002260553128855272	0.0001847812644940204	0.000224201215624543	0.00018584708463835394
flat11	128	TSC	100000	100	0.0003786844859420319	0.002644986041457549	0.002247434450565898	0.00018060936452828574	0.00022020953252632278	0.00018356369696092986
flat11	256	CIC	100000	100	0.00026775356494317993	0.0029041880909560273	0.0024108808769937036	0.00020170521906124635	0.00024178951867947118	0.00020120655218781647
flat11	256	TSC	100000	100	0.00025614406192356906	0.002863627814088281	0.0023796194144788184	0.00019811090637581125	0.00023841265412586366	0.0001976235792422457
