turn	ele_ex	ele_ey	pro_ex	pro_ey
1312	2.27067735e-08	1.69408416e-09	1.13291111e-08	1.01211762e-09
1328	2.27117240e-08	1.69454019e-09	1.13257178e-08	1.01270028e-09
1344	2.27030395e-08	1.69695265e-09	1.13248519e-08	1.01291291e-09
1360	2.26939547e-08	1.69698779e-09	1.13285857e-08	1.01273783e-09
1376	2.27408675e-08	1.69996203e-09	1.13303607e-08	1.01220113e-09
1392	2.27745168e-08	1.70105625e-09	1.13255583e-08	1.01309284e-09
1408	2.27523670e-08	1.69658557e-09	1.13247027e-08	1.01272205e-09
1424	2.26797983e-08	1.69172265e-09	1.13283185e-08	1.01246376e-09
1440	2.26765449e-08	1.69141797e-09	1.13306601e-08	1.01292734e-09
1456	2.26381118e-08	1.69218657e-09	1.13294524e-08	1.01255193e-09
1472	2.26494351e-08	1.68907928e-09	1.13271922e-08	1.01276586e-09
1488	2.27037116e-08	1.69422398e-09	1.13272825e-08	1.01302443e-09
1504	2.26875984e-08	1.69753966e-09	1.13304717e-08	1.01296388e-09
1520	2.26599871e-08	1.69651318e-09	1.13284391e-08	1.01306264e-09
1536	2.26190952e-08	1.69377384e-09	1.13253550e-08	1.01316607e-09
1552	2.26695635e-08	1.69131582e-09	1.13243389e-08	1.01267856e-09
1568	2.26519808e-08	1.69340868e-09	1.13283438e-08	1.01323332e-09
1584	2.26421157e-08	1.69725673e-09	1.13307130e-08	1.01324727e-09
1600	2.26298464e-08	1.69400117e-09	1.13298517e-08	1.01302840e-09
1616	2.25698929e-08	1.69329886e-09	1.13285621e-08	1.01275426e-09
1632	2.25671958e-08	1.69247724e-09	1.13271727e-08	1.01273959e-09
1648	2.25594916e-08	1.69505501e-09	1.13289671e-08	1.01301086e-09
1664	2.25468225e-08	1.68935689e-09	1.13309113e-08	1.01293845e-09
1680	2.25710222e-08	1.68957964e-09	1.13309587e-08	1.01303202e-09
1696	2.26070462e-08	1.68719509e-09	1.13294805e-08	1.01321605e-09
1712	2.26226378e-08	1.68616258e-09	1.13284786e-08	1.01262705e-09
1728	2.26095280e-08	1.68439917e-09	1.13282661e-08	1.01326934e-09
1744	2.26260043e-08	1.68609391e-09	1.13291978e-08	1.01295290e-09
1760	2.26621128e-08	1.69191049e-09	1.13298072e-08	1.01319457e-09
1776	2.26887754e-08	1.69255525e-09	1.13308547e-08	1.01302227e-09
1792	2.26919870e-08	1.69157713e-09	1.13274000e-08	1.01329378e-09
1808	2.26604148e-08	1.69371767e-09	1.13258385e-08	1.01351540e-09
1824	2.26670891e-08	1.69742024e-09	1.13277470e-08	1.01320684e-09
1840	2.26636843e-08	1.70015000e-09	1.13302447e-08	1.01290472e-09
1856	2.27139150e-08	1.70146603e-09	1.13304604e-08	1.01310611e-09
1872	2.26906302e-08	1.70338808e-09	1.13300313e-08	1.01311320e-09
1888	2.27004032e-08	1.70280746e-09	1.13311451e-08	1.01323841e-09
1904	2.27567240e-08	1.69990263e-09	1.13296256e-08	1.01327729e-09
1920	2.27652490e-08	1.69862715e-09	1.13283250e-08	1.01281660e-09
1936	2.27813806e-08	1.69762903e-09	1.13312386e-08	1.01335031e-09
1952	2.28505475e-08	1.70023548e-09	1.13329606e-08	1.01331419e-09
1968	2.28542004e-08	1.69779327e-09	1.13307978e-08	1.01306880e-09
1984	2.28778541e-08	1.69788647e-09	1.13285105e-08	1.01352433e-09
2000	2.28530321e-08	1.69898373e-09	1.13294685e-08	1.01319256e-09
2016	2.28335940e-08	1.69685280e-09	1.13308220e-08	1.01296855e-09
2032	2.28357999e-08	1.69590700e-09	1.13322430e-08	1.01308042e-09
2048	2.28081847e-08	1.69738401e-09	1.13286788e-08	1.01353573e-09
2064	2.27893293e-08	1.69813491e-09	1.13293570e-08	1.01280958e-09
2080	2.27376490e-08	1.69689637e-09	1.13307177e-08	1.01317599e-09
2096	2.26825510e-08	1.69761248e-09	1.13309368e-08	1.01313382e-09
2112	2.27273071e-08	1.69998983e-09	1.13304440e-08	1.01348889e-09
2128	2.27208770e-08	1.69678211e-09	1.13325114e-08	1.01323521e-09
2144	2.27173896e-08	1.70132049e-09	1.13337671e-08	1.01277921e-09
2160	2.27886430e-08	1.69928266e-09	1.13346417e-08	1.01361277e-09
2176	2.27590164e-08	1.69760081e-09	1.13324912e-08	1.01312536e-09
2192	2.27332713e-08	1.69589114e-09	1.13285380e-08	1.01318877e-09
2208	2.27036502e-08	1.69822684e-09	1.13290548e-08	1.01311043e-09
2224	2.27188264e-08	1.69689816e-09	1.13313502e-08	1.01337928e-09
2240	2.27257194e-08	1.69581069e-09	1.13355219e-08	1.01306933e-09
2256	2.27402459e-08	1.69480156e-09	1.13374058e-08	1.01317657e-09
2272	2.27241625e-08	1.69196953e-09	1.13347748e-08	1.01331787e-09
2288	2.27175198e-08	1.68930822e-09	1.13339841e-08	1.01316492e-09
2304	2.26954975e-08	1.69067177e-09	1.13290950e-08	1.01352199e-09
2320	2.27019522e-08	1.69355112e-09	1.13305939e-08	1.01297563e-09
2336	2.27149111e-08	1.69446268e-09	1.13343397e-08	1.01319753e-09
2352	2.27122761e-08	1.68888947e-09	1.13320556e-08	1.01342296e-09
2368	2.27657844e-08	1.69071970e-09	1.13316826e-08	1.01277456e-09
2384	2.27302211e-08	1.69093503e-09	1.13320128e-08	1.01349245e-09
2400	2.27048760e-08	1.69630399e-09	1.13332847e-08	1.01294250e-09
2416	2.27125252e-08	1.69435035e-09	1.13352989e-08	1.01309204e-09
2432	2.27141424e-08	1.69206931e-09	1.13347439e-08	1.01316006e-09
2448	2.27207857e-08	1.68849732e-09	1.13342173e-08	1.01339642e-09
2464	2.26878771e-08	1.69085648e-09	1.13340958e-08	1.01322733e-09
2480	2.27022421e-08	1.68784474e-09	1.13337251e-08	1.01331808e-09
2496	2.27264352e-08	1.68644094e-09	1.13340437e-08	1.01322928e-09
2512	2.27560367e-08	1.68453137e-09	1.13335842e-08	1.01357349e-09
2528	2.26941229e-08	1.68526541e-09	1.13332427e-08	1.01335510e-09
2544	2.27131627e-08	1.68305545e-09	1.13320277e-08	1.01282736e-09
2560	2.27098306e-08	1.68310429e-09	1.13316648e-08	1.01338118e-09
2576	2.27099330e-08	1.68003268e-09	1.13305043e-08	1.01335920e-09
2592	2.26891160e-08	1.68125500e-09	1.13318900e-08	1.01312807e-09
2608	2.26891986e-08	1.68478996e-09	1.13352624e-08	1.01294881e-09
2624	2.26988770e-08	1.68521522e-09	1.13349223e-08	1.01370396e-09
2640	2.26757270e-08	1.68754018e-09	1.13336516e-08	1.01294991e-09
2656	2.27024046e-08	1.68738729e-09	1.13314132e-08	1.01306848e-09
2672	2.27041032e-08	1.68544555e-09	1.13317648e-08	1.01324961e-09
2688	2.26996708e-08	1.68712004e-09	1.13347239e-08	1.01316323e-09
2704	2.26788505e-08	1.69162967e-09	1.13367792e-08	1.01291393e-09
2720	2.26630394e-08	1.69296725e-09	1.13370526e-08	1.01319807e-09
2736	2.26856962e-08	1.69280237e-09	1.13358003e-08	1.01304488e-09
2752	2.26773016e-08	1.69428131e-09	1.13307787e-08	1.01351721e-09
2768	2.26888421e-08	1.69245598e-09	1.13316360e-08	1.01306759e-09
2784	2.26499521e-08	1.69116508e-09	1.13360748e-08	1.01316340e-09
2800	2.26929359e-08	1.69106019e-09	1.13365876e-08	1.01347061e-09
2816	2.27119361e-08	1.68923723e-09	1.13344829e-08	1.01297735e-09
2832	2.27542959e-08	1.68646318e-09	1.13335709e-08	1.01331709e-09
2848	2.28093985e-08	1.68354087e-09	1.13369604e-08	1.01308349e-09
2864	2.27913085e-08	1.68810815e-09	1.13360465e-08	1.01331726e-09
2880	2.27736627e-08	1.69173630e-09	1.13335416e-08	1.01355664e-09
2896	2.27691128e-08	1.69246924e-09	1.13337784e-08	1.01286548e-09
2912	2.27405278e-08	1.69092380e-09	1.13322795e-08	1.01338403e-09
2928	2.26991457e-08	1.68915223e-09	1.13343954e-08	1.01351195e-09
2944	2.27337514e-08	1.68711071e-09	1.13341920e-08	1.01330705e-09
2960	2.27597335e-08	1.68829975e-09	1.13322048e-08	1.01346707e-09
2976	2.27370322e-08	1.68971810e-09	1.13332199e-08	1.01354408e-09
2992	2.27248188e-08	1.68922398e-09	1.13335024e-08	1.01352503e-09
3008	2.27222159e-08	1.68889837e-09	1.13368495e-08	1.01307660e-09
3024	2.27591756e-08	1.69214113e-09	1.13344819e-08	1.01342611e-09
3040	2.27816994e-08	1.68855633e-09	1.13324353e-08	1.01314302e-09
3056	2.27876837e-08	1.69105185e-09	1.13336258e-08	1.01317759e-09
3072	2.27316139e-08	1.68879906e-09	1.13359815e-08	1.01331622e-09
3088	2.27161615e-08	1.68849183e-09	1.13369629e-08	1.01306711e-09
3104	2.26832176e-08	1.68540061e-09	1.13383413e-08	1.01299684e-09
3120	2.26564077e-08	1.68531527e-09	1.13363877e-08	1.01344439e-09
3136	2.26687115e-08	1.68883504e-09	1.13366019e-08	1.01310325e-09
3152	2.26759569e-08	1.68520106e-09	1.13362761e-08	1.01323080e-09
3168	2.26931934e-08	1.68399677e-09	1.13357796e-08	1.01277348e-09
3184	2.26902227e-08	1.68825398e-09	1.13344462e-08	1.01342547e-09
3200	2.27062740e-08	1.68611489e-09	1.13339985e-08	1.01309376e-09
3216	2.27323398e-08	1.68496891e-09	1.13346581e-08	1.01329302e-09
3232	2.27413397e-08	1.68565047e-09	1.13333796e-08	1.01335514e-09
3248	2.27257130e-08	1.68560513e-09	1.13351324e-08	1.01322518e-09
3264	2.26967230e-08	1.68754461e-09	1.13364321e-08	1.01333333e-09
3280	2.27085289e-08	1.68706551e-09	1.13380380e-08	1.01323539e-09
3296	2.27240095e-08	1.68588674e-09	1.13365149e-08	1.01313486e-09
3312	2.27210730e-08	1.68725544e-09	1.13359689e-08	1.01354490e-09
3328	2.27399615e-08	1.68885959e-09	1.13375343e-08	1.01313903e-09
3344	2.27800248e-08	1.69121654e-09	1.13370623e-08	1.01354582e-09
3360	2.27715489e-08	1.69033670e-09	1.13387756e-08	1.01325785e-09
3376	2.26775410e-08	1.68880423e-09	1.13406435e-08	1.01338895e-09
3392	2.26797869e-08	1.68864755e-09	1.13367844e-08	1.01351451e-09
3408	2.26489584e-08	1.68867544e-09	1.13364699e-08	1.01291155e-09
3424	2.26362484e-08	1.69133220e-09	1.13357136e-08	1.01392653e-09
3440	2.26441727e-08	1.69125215e-09	1.13375811e-08	1.01285808e-09
3456	2.26773742e-08	1.69398365e-09	1.13395313e-08	1.01348532e-09
3472	2.27119309e-08	1.69390359e-09	1.13389287e-08	1.01383656e-09
3488	2.26806108e-08	1.69540753e-09	1.13407475e-08	1.01363403e-09
3504	2.27046283e-08	1.69581842e-09	1.13390781e-08	1.01350734e-09
3520	2.27854675e-08	1.69634095e-09	1.13357204e-08	1.01357466e-09
3536	2.27635031e-08	1.69366688e-09	1.13370172e-08	1.01368629e-09
3552	2.28175491e-08	1.69400588e-09	1.13371216e-08	1.01343346e-09
3568	2.27708344e-08	1.69472012e-09	1.13339964e-08	1.01384718e-09
3584	2.27265498e-08	1.69379108e-09	1.13353723e-08	1.01349904e-09
3600	2.27720682e-08	1.68994854e-09	1.13385917e-08	1.01360341e-09
3616	2.27602328e-08	1.69204532e-09	1.13394638e-08	1.01388305e-09
3632	2.27734279e-08	1.68924537e-09	1.13366932e-08	1.01329951e-09
