# Kick-error systematic/fluctuation split, 81x81 field grid +-4 sigma,
# median over field points, normalized by peak exact kick.
# R independent source realizations per row.
family	grid	deposit	n_macro	R	bias	fluctuation	total_median	bias_floor_bootstrap	bias_floor_rayleigh	bias_floor_bootstrap_uncentered
round	64	CIC	100000	100	0.00044999737647532395	0.0013441402264567075	0.0011761792251267387	0.00010384571029299435	0.00011190701435790839	0.0001129397328163953
round	64	TSC	100000	100	0.0004957436243456299	0.0013276183882501883	0.0011709166569543919	0.00010291781051035193	0.0001105314810995445	0.00011361541187611712
round	128	CIC	100000	100	0.00016165240917081732	0.0014118354515239371	0.001165578986298514	0.0001079078472361446	0.00011754301153621641	0.00010857648970490446
round	128	TSC	100000	100	0.00016792022942397868	0.0013984307234164199	0.0011524306228069393	0.00010708280071246378	0.00011642699471649354	0.00010791478653547866
round	256	CIC	100000	100	0.00013101217234394859	0.0014818281684574285	0.0012227509602728772	0.000112890377646402	0.00012337028745925977	0.00011332580352765795
round	256	TSC	100000	100	0.00013119550337596818	0.0014687719222180255	0.0012133568547197792	0.00011202786697222958	0.00012228328365815723	0.00011246700643439214
flat11	64	CIC	100000	100	0.0013308911004606108	0.002531813034643916	0.002441088464944333	0.00017749470006765792	0.00021078726165819564	0.00021758528371203437
flat11	64	TSC	100000	100	0.0018322515610255635	0.0024495986824186753	0.002629293513082156	0.00017333817067734534	0.0002039424678533489	0.0002316259237433449
flat11	128	CIC	100000	100	0.0003400320224856016	0.0028008995371961295	0.0023276859263501423	0.0001962877058271467	0.00023319018250820992	0.0002010715713720528
flat11	128	TSC	100000	100	0.0004228484099925729	0.0027546481567158657	0.002310378322052352	0.00019254785730425582	0.00022933950249908464	0.00019776683527612186
flat11	256	CIC	100000	100	0.0001577698649735998	0.002982151553968198	0.002470608453442256	0.0002131056627299587	0.0002482804027427317	0.00021457731787399045
flat11	256	TSC	100000	100	0.00016078583242984122	0.002947554092482765	0.0024435682971559926	0.00021039360797358583	0.00024539997513332694	0.00021152918519099648
