turn	x1	x2	y1	y2
80	1.055247e-05	-8.998357e-07	1.075561e-05	5.884674e-07
81	1.072969e-05	7.129865e-07	1.055010e-05	6.743867e-07
82	1.031295e-05	6.087139e-07	1.023865e-05	-9.181710e-07
83	1.043300e-05	-9.145048e-07	1.069583e-05	3.737614e-07
84	1.072430e-05	3.597960e-07	1.062023e-05	8.643120e-07
85	1.042933e-05	8.894071e-07	1.023213e-05	-8.655652e-07
86	1.035306e-05	-7.814701e-07	1.063436e-05	1.412674e-07
87	1.066839e-05	-1.595342e-08	1.067844e-05	1.012603e-06
88	1.054495e-05	1.047449e-06	1.024404e-05	-7.618977e-07
89	1.032808e-05	-5.286400e-07	1.056845e-05	-9.683718e-08
90	1.057839e-05	-3.689871e-07	1.072218e-05	1.114076e-06
91	1.062923e-05	1.073063e-06	1.027025e-05	-6.121357e-07
92	1.036307e-05	-1.955096e-07	1.050702e-05	-3.266692e-07
93	1.047934e-05	-6.551997e-07	1.075243e-05	1.162151e-06
94	1.065600e-05	9.648358e-07	1.030336e-05	-4.270416e-07
95	1.043853e-05	1.692736e-07	1.045274e-05	-5.373509e-07
96	1.039907e-05	-8.321753e-07	1.076870e-05	1.155215e-06
97	1.062264e-05	7.419032e-07	1.033993e-05	-2.101229e-07
98	1.053543e-05	5.185154e-07	1.040983e-05	-7.201915e-07
99	1.035906e-05	-8.775017e-07	1.076835e-05	1.097447e-06
100	1.055101e-05	4.258561e-07	1.038143e-05	2.203977e-08
101	1.062148e-05	8.078225e-07	1.037830e-05	-8.660963e-07
102	1.037403e-05	-7.764933e-07	1.074942e-05	9.925669e-07
103	1.046335e-05	6.052997e-08	1.043003e-05	2.600113e-07
104	1.067601e-05	9.846885e-07	1.035900e-05	-9.707792e-07
105	1.042923e-05	-5.473765e-07	1.071494e-05	8.494033e-07
106	1.038147e-05	-2.944274e-07	1.047478e-05	4.887338e-07
107	1.068393e-05	1.025624e-06	1.035292e-05	-1.025784e-06
108	1.050499e-05	-2.188983e-07	1.067499e-05	6.733420e-07
109	1.032419e-05	-5.813809e-07	1.051227e-05	7.003515e-07
110	1.063916e-05	9.208669e-07	1.035512e-05	-1.029337e-06
111	1.058474e-05	1.440100e-07	1.063633e-05	4.666942e-07
112	1.030312e-05	-7.515383e-07	1.054144e-05	8.857848e-07
113	1.055940e-05	6.929682e-07	1.036196e-05	-9.810492e-07
114	1.065482e-05	4.811889e-07	1.059787e-05	2.390953e-07
115	1.032844e-05	-7.850817e-07	1.057271e-05	1.032801e-06
116	1.046841e-05	3.845210e-07	1.037112e-05	-8.826100e-07
117	1.070014e-05	7.412184e-07	1.055587e-05	3.508045e-09
118	1.039170e-05	-6.809712e-07	1.060123e-05	1.135668e-06
119	1.038600e-05	4.242463e-08	1.038923e-05	-7.395419e-07
120	1.070623e-05	8.919734e-07	1.051380e-05	-2.276323e-07
121	1.047474e-05	-4.512074e-07	1.061813e-05	1.193416e-06
122	1.032957e-05	-2.771080e-07	1.041522e-05	-5.554457e-07
123	1.066747e-05	9.140630e-07	1.047776e-05	-4.455707e-07
124	1.055795e-05	-1.404275e-07	1.062261e-05	1.201033e-06
125	1.030250e-05	-5.302277e-07	1.045086e-05	-3.437239e-07
126	1.059513e-05	8.041737e-07	1.044574e-05	-6.354489e-07
127	1.063281e-05	1.928473e-07	1.061140e-05	1.155552e-06
128	1.031672e-05	-6.725312e-07	1.049644e-05	-1.178907e-07
129	1.050717e-05	5.796667e-07	1.042142e-05	-7.841330e-07
130	1.068482e-05	4.947626e-07	1.058947e-05	1.056406e-06
131	1.037186e-05	-6.854374e-07	1.054578e-05	1.117969e-07
132	1.041535e-05	2.844365e-07	1.041025e-05	-8.885988e-07
133	1.070024e-05	7.232781e-07	1.055070e-05	9.156618e-07
134	1.045593e-05	-5.747741e-07	1.058274e-05	3.359217e-07
135	1.034317e-05	-2.861041e-08	1.041843e-05	-9.460360e-07
136	1.067205e-05	8.495363e-07	1.050622e-05	7.454167e-07
137	1.054272e-05	-3.506678e-07	1.061447e-05	5.373727e-07
138	1.031077e-05	-3.210069e-07	1.043342e-05	-9.530802e-07
139	1.060833e-05	8.595775e-07	1.045423e-05	5.593811e-07
140	1.062078e-05	-5.632172e-08	1.064299e-05	7.094467e-07
141	1.031502e-05	-5.526150e-07	1.046042e-05	-9.182259e-07
142	1.052240e-05	7.460729e-07	1.039884e-05	3.634658e-07
143	1.068297e-05	2.612375e-07	1.066354e-05	8.514141e-07
144	1.035369e-05	-6.842742e-07	1.049922e-05	-8.453187e-07
145	1.042780e-05	5.233303e-07	1.033851e-05	1.627683e-07
146	1.071971e-05	5.585552e-07	1.067511e-05	9.588206e-07
147	1.042297e-05	-6.908807e-07	1.055542e-05	-7.394897e-07
148	1.033701e-05	2.261196e-07	1.027816e-05	-3.722007e-08
149	1.071686e-05	7.919438e-07	1.066490e-05	1.033988e-06
150	1.051559e-05	-5.653666e-07	1.062760e-05	-6.078162e-07
151	1.026952e-05	-9.816745e-08	1.023221e-05	-2.362326e-07
152	1.067153e-05	9.135920e-07	1.062881e-05	1.073982e-06
153	1.062146e-05	-3.238825e-07	1.070547e-05	-4.479401e-07
154	1.023823e-05	-4.030200e-07	1.020756e-05	-4.207691e-07
155	1.058727e-05	8.957546e-07	1.056836e-05	1.078404e-06
156	1.072188e-05	-5.921304e-09	1.078595e-05	-2.652246e-07
157	1.025284e-05	-6.302698e-07	1.020444e-05	-5.908495e-07
158	1.047614e-05	7.455822e-07	1.048169e-05	1.045732e-06
159	1.079531e-05	3.311386e-07	1.086852e-05	-6.856320e-08
160	1.031196e-05	-7.418602e-07	1.022386e-05	-7.351785e-07
161	1.035291e-05	4.892968e-07	1.037993e-05	9.759789e-07
162	1.082998e-05	6.300745e-07	1.093794e-05	1.415196e-07
163	1.040961e-05	-7.066711e-07	1.026979e-05	-8.513763e-07
164	1.023453e-05	1.682121e-07	1.026741e-05	8.663913e-07
165	1.081751e-05	8.377233e-07	1.098888e-05	3.532996e-07
166	1.053675e-05	-5.329196e-07	1.034697e-05	-9.262131e-07
167	1.014382e-05	-1.552783e-07	1.014712e-05	7.205533e-07
168	1.075449e-05	9.137244e-07	1.101417e-05	5.518124e-07
169	1.067833e-05	-2.607884e-07	1.044959e-05	-9.498905e-07
170	1.010585e-05	-4.332610e-07	1.003575e-05	5.431317e-07
171	1.064092e-05	8.513232e-07	1.100664e-05	7.300395e-07
172	1.080856e-05	5.691156e-08	1.057065e-05	-9.246815e-07
173	1.012745e-05	-6.085755e-07	9.938195e-06	3.445404e-07
174	1.049206e-05	6.607036e-07	1.096424e-05	8.778462e-07
175	1.090515e-05	3.620300e-07	1.070737e-05	-8.530047e-07
176	1.020863e-05	-6.527385e-07	9.860438e-06	1.351407e-07
177	1.032279e-05	3.897133e-07	1.088296e-05	9.905315e-07
178	1.095267e-05	6.005992e-07	1.085101e-05	-7.401344e-07
179	1.034691e-05	-5.707923e-07	9.820757e-06	-7.507577e-08
180	1.016589e-05	1.018849e-07	1.076791e-05	1.063672e-06
181	1.092967e-05	7.319747e-07	1.098963e-05	-5.889944e-07
182	1.052236e-05	-3.859989e-07	9.818599e-06	-2.739139e-07
183	1.005195e-05	-1.554083e-07	1.062892e-05	1.083533e-06
184	1.083805e-05	7.414284e-07	1.111162e-05	-4.130170e-07
185	1.070643e-05	-1.407730e-07	9.857430e-06	-4.473925e-07
186	1.000889e-05	-3.407550e-07	1.047478e-05	1.055973e-06
187	1.068802e-05	6.475322e-07	1.120806e-05	-2.242392e-07
188	1.086941e-05	1.033715e-07	9.934281e-06	-5.887374e-07
189	1.003960e-05	-4.350512e-07	1.031034e-05	9.893999e-07
190	1.050118e-05	4.842239e-07	1.127527e-05	-3.265943e-08
191	1.098583e-05	3.155083e-07	1.004442e-05	-6.928199e-07
192	1.014006e-05	-4.426787e-07	1.014528e-05	8.889195e-07
193	1.029558e-05	2.846575e-07	1.130054e-05	1.551989e-07
194	1.103800e-05	4.674008e-07	1.018629e-05	-7.568311e-07
195	1.030662e-05	-3.628152e-07	9.993610e-06	7.629071e-07
196	1.010769e-05	8.018427e-08	1.128259e-05	3.283560e-07
197	1.100840e-05	5.442101e-07	1.035421e-05	-7.765417e-07
198	1.051636e-05	-2.183403e-07	9.867959e-06	6.128474e-07
199	9.975651e-06	-1.027686e-07	1.122111e-05	4.827702e-07
200	1.089547e-05	5.423032e-07	1.053954e-05	-7.612344e-07
201	1.073569e-05	-3.111316e-08	9.767056e-06	4.495065e-07
202	9.924688e-06	-2.406080e-07	1.112548e-05	6.126849e-07
203	1.071451e-05	4.564805e-07	1.072571e-05	-7.135342e-07
204	1.092495e-05	1.635463e-07	9.702888e-06	2.814000e-07
205	9.968058e-06	-3.005833e-07	1.099137e-05	7.150728e-07
206	1.049502e-05	3.082642e-07	1.090736e-05	-6.396307e-07
207	1.105213e-05	3.308643e-07	9.679919e-06	1.193628e-07
208	1.009810e-05	-2.775379e-07	1.082928e-05	7.826608e-07
209	1.026735e-05	1.239333e-07	1.106459e-05	-5.405041e-07
210	1.109389e-05	4.359074e-07	9.704962e-06	-3.537931e-08
211	1.029320e-05	-1.706280e-07	1.065077e-05	8.170966e-07
212	1.007294e-05	-5.350638e-08	1.119067e-05	-4.205509e-07
213	1.104247e-05	4.579668e-07	9.771605e-06	-1.736823e-07
214	1.052631e-05	-1.791131e-09	1.046892e-05	8.199509e-07
215	9.945740e-06	-1.871714e-07	1.128156e-05	-2.904939e-07
216	1.090183e-05	3.892227e-07	9.869316e-06	-2.925387e-07
217	1.075196e-05	1.821519e-07	1.029383e-05	7.926001e-07
218	9.915705e-06	-2.477944e-07	1.133911e-05	-1.504461e-07
219	1.069572e-05	2.489460e-07	9.992595e-06	-3.847147e-07
220	1.093570e-05	3.403817e-07	1.012763e-05	7.365850e-07
221	9.983989e-06	-2.248181e-07	1.136231e-05	-1.159798e-08
222	1.046616e-05	6.647810e-08	1.013796e-05	-4.465984e-07
223	1.104335e-05	4.424455e-07	9.981333e-06	6.555969e-07
224	1.013709e-05	-1.254858e-07	1.135050e-05	1.163862e-07
225	1.024489e-05	-1.101152e-07	1.029403e-05	-4.738342e-07
226	1.106173e-05	4.668178e-07	9.853636e-06	5.549935e-07
227	1.034681e-05	3.375459e-08	1.131261e-05	2.262961e-07
228	1.006810e-05	-2.433333e-07	1.045815e-05	-4.662382e-07
229	1.098476e-05	4.022232e-07	9.745618e-06	4.438052e-07
230	1.057754e-05	2.240817e-07	1.124520e-05	3.105378e-07
231	9.969902e-06	-3.069004e-07	1.062770e-05	-4.328375e-07
232	1.082531e-05	2.603652e-07	9.660493e-06	3.336222e-07
233	1.079194e-05	3.922377e-07	1.114251e-05	3.709859e-07
234	9.970120e-06	-2.856195e-07	1.080647e-05	-3.808737e-07
235	1.061239e-05	7.739315e-08	9.611052e-06	2.329409e-07
236	1.094817e-05	5.029323e-07	1.100770e-05	4.036855e-07
237	1.006938e-05	-1.867874e-07	1.097106e-05	-3.153790e-07
238	1.039379e-05	-1.094326e-07	9.596390e-06	1.495791e-07
239	1.101527e-05	5.384149e-07	1.085805e-05	4.115167e-07
240	1.024003e-05	-3.329773e-08	1.112123e-05	-2.478453e-07
241	1.020276e-05	-2.591922e-07	9.615601e-06	8.720971e-08
242	1.099138e-05	4.963440e-07	1.069013e-05	4.045886e-07
243	1.044419e-05	1.489589e-07	1.125100e-05	-1.841398e-07
244	1.006815e-05	-3.527033e-07	9.667034e-06	4.018621e-08
245	1.088877e-05	3.870132e-07	1.051585e-05	3.865599e-07
246	1.064801e-05	3.269866e-07	1.135470e-05	-1.250617e-07
247	1.001117e-05	-3.740609e-07	9.750480e-06	4.964220e-09
248	1.072814e-05	2.273261e-07	1.033117e-05	3.639045e-07
249	1.082160e-05	4.671907e-07	1.143489e-05	-7.655633e-08
250	1.004243e-05	-3.212404e-07	9.867503e-06	-2.310519e-08
251	1.053248e-05	4.195690e-08	1.014509e-05	3.442020e-07
252	1.093858e-05	5.532504e-07	1.147934e-05	-3.257309e-08
253	1.015516e-05	-2.055047e-07	1.002057e-05	-4.246212e-08
254	1.033469e-05	-1.331534e-07	9.968766e-06	3.204095e-07
255	1.098094e-05	5.697665e-07	1.148423e-05	4.438192e-09
256	1.032057e-05	-3.887333e-08	1.019758e-05	-5.479998e-08
257	1.017204e-05	-2.736703e-07	9.805634e-06	2.965997e-07
258	1.094050e-05	5.155822e-07	1.145487e-05	4.008246e-08
259	1.050938e-05	1.481354e-07	1.039253e-05	-6.230762e-08
260	1.006838e-05	-3.544738e-07	9.665715e-06	2.761918e-07
261	1.083121e-05	3.914071e-07	1.138439e-05	6.705577e-08
262	1.069000e-05	3.266807e-07	1.059310e-05	-6.639520e-08
263	1.003761e-05	-3.633054e-07	9.560968e-06	2.546195e-07
264	1.067583e-05	2.150070e-07	1.127341e-05	8.981312e-08
265	1.083622e-05	4.648235e-07	1.079326e-05	-6.403466e-08
266	1.008168e-05	-2.918531e-07	9.492177e-06	2.330094e-07
267	1.049824e-05	1.660737e-08	1.112596e-05	1.048473e-07
268	1.092668e-05	5.336967e-07	1.098453e-05	-5.312661e-08
269	1.019538e-05	-1.526661e-07	9.469883e-06	2.139077e-07
270	1.032594e-05	-1.574320e-07	1.094883e-05	1.074216e-07
271	1.094501e-05	5.196158e-07	1.115665e-05	-3.694782e-08
272	1.035130e-05	3.693030e-08	9.493186e-06	2.034610e-07
273	1.018959e-05	-2.817598e-07	1.075133e-05	1.027679e-07
274	1.088971e-05	4.266307e-07	1.130753e-05	-2.322686e-08
275	1.052543e-05	2.363794e-07	9.556853e-06	1.999034e-07
276	1.010724e-05	-3.269013e-07	1.054429e-05	9.304861e-08
277	1.077522e-05	2.632879e-07	1.142705e-05	-1.585794e-08
278	1.069160e-05	4.021835e-07	9.671683e-06	2.039586e-07
279	1.009454e-05	-2.802978e-07	1.033420e-05	8.484842e-08
280	1.062335e-05	6.273850e-08	1.150308e-05	-2.174365e-08
281	1.081731e-05	4.967332e-07	9.823721e-06	2.147157e-07
282	1.015793e-05	-1.494896e-07	1.013362e-05	7.966841e-08
283	1.045703e-05	-1.326969e-07	1.153289e-05	-4.066947e-08
284	1.088103e-05	4.999644e-07	1.000194e-05	2.344551e-07
285	1.028190e-05	4.026098e-08	9.952814e-06	8.108346e-08
286	1.030915e-05	-2.754931e-07	1.150917e-05	-6.701644e-08
287	1.087119e-05	4.077723e-07	1.019952e-05	2.530491e-07
288	1.043090e-05	2.459013e-07	9.799864e-06	9.458329e-08
289	1.020764e-05	-3.288290e-07	1.144249e-05	-9.984550e-08
290	1.079620e-05	2.473153e-07	1.040092e-05	2.704370e-07
291	1.057757e-05	4.110830e-07	9.686595e-06	1.178547e-07
292	1.016204e-05	-2.867994e-07	1.133235e-05	-1.361789e-07
293	1.067870e-05	5.594313e-08	1.060031e-05	2.817348e-07
294	1.070898e-05	5.111694e-07	9.618874e-06	1.512050e-07
295	1.017333e-05	-1.671936e-07	1.118649e-05	-1.723629e-07
296	1.054007e-05	-1.341622e-07	1.079194e-05	2.809789e-07
297	1.079928e-05	5.366400e-07	9.602419e-06	1.927331e-07
298	1.024471e-05	3.190704e-09	1.101163e-05	-2.078165e-07
299	1.040375e-05	-2.850686e-07	1.095975e-05	2.685062e-07
300	1.083742e-05	4.784619e-07	9.632562e-06	2.394412e-07
301	1.035803e-05	1.903392e-07	1.082385e-05	-2.360052e-07
302	1.028730e-05	-3.736299e-07	1.109461e-05	2.406347e-07
303	1.081847e-05	3.559347e-07	9.701489e-06	2.898116e-07
304	1.048952e-05	3.732351e-07	1.063227e-05	-2.521893e-07
305	1.020863e-05	-3.892164e-07	1.119279e-05	1.970540e-07
306	1.074218e-05	1.862375e-07	9.805730e-06	3.440946e-07
307	1.061983e-05	5.230030e-07	1.044601e-05	-2.569240e-07
308	1.018144e-05	-3.283201e-07	1.124814e-05	1.426103e-07
309	1.062859e-05	-1.181980e-08	9.938082e-06	3.948349e-07
310	1.072371e-05	6.223911e-07	1.028001e-05	-2.427609e-07
311	1.020840e-05	-1.962406e-07	1.125893e-05	7.995553e-08
312	1.050041e-05	-2.140039e-07	1.009091e-05	4.410104e-07
313	1.078959e-05	6.477947e-07	1.014137e-05	-2.122464e-07
314	1.028558e-05	-6.177729e-09	1.122859e-05	5.716088e-09
315	1.037887e-05	-3.943710e-07	1.024707e-05	4.771758e-07
316	1.080791e-05	5.826822e-07	1.004041e-05	-1.676756e-07
317	1.039970e-05	2.205571e-07	1.116725e-05	-6.837701e-08
318	1.028387e-05	-5.092518e-07	1.039539e-05	5.001796e-07
319	1.076568e-05	4.321343e-07	9.972631e-06	-1.157492e-07
320	1.052850e-05	4.512700e-07	1.108411e-05	-1.447260e-07
321	1.023487e-05	-5.374050e-07	1.053304e-05	5.120456e-07
322	1.067575e-05	2.193752e-07	9.937095e-06	-5.071485e-08
323	1.064523e-05	6.482967e-07	1.098560e-05	-2.249975e-07
324	1.023391e-05	-4.637814e-07	1.064977e-05	5.146492e-07
325	1.056244e-05	-3.149010e-08	9.930439e-06	2.611334e-08
326	1.072493e-05	7.682352e-07	1.088229e-05	-3.021812e-07
327	1.028447e-05	-2.923574e-07	1.074423e-05	5.026517e-07
328	1.044109e-05	-2.869226e-07	9.944837e-06	1.170579e-07
329	1.076527e-05	7.891750e-07	1.077731e-05	-3.707266e-07
330	1.037944e-05	-4.673002e-08	1.082234e-05	4.718857e-07
331	1.033221e-05	-5.014905e-07	9.976339e-06	2.202204e-07
332	1.075289e-05	6.982178e-07	1.066831e-05	-4.228907e-07
333	1.049889e-05	2.375763e-07	1.088888e-05	4.152993e-07
334	1.026286e-05	-6.243743e-07	1.002808e-05	3.284419e-07
335	1.068217e-05	5.021529e-07	1.055569e-05	-4.575121e-07
336	1.062045e-05	5.111631e-07	1.093000e-05	3.350510e-07
337	1.024580e-05	-6.313241e-07	1.010144e-05	4.388296e-07
338	1.056721e-05	2.355384e-07	1.045789e-05	-4.692374e-07
339	1.071459e-05	7.210801e-07	1.094818e-05	2.331272e-07
340	1.029026e-05	-5.153081e-07	1.018344e-05	5.433324e-07
341	1.043803e-05	-5.817989e-08	1.036847e-05	-4.524031e-07
342	1.076059e-05	8.267690e-07	1.094506e-05	1.121899e-07
343	1.038715e-05	-3.031625e-07	1.027313e-05	6.264514e-07
344	1.032633e-05	-3.240377e-07	1.029660e-05	-4.025065e-07
345	1.074896e-05	8.144989e-07	1.091894e-05	-1.570206e-08
346	1.051005e-05	-3.336038e-08	1.036288e-05	6.813144e-07
347	1.025928e-05	-5.181601e-07	1.024220e-05	-3.245648e-07
348	1.067995e-05	6.826808e-07	1.088069e-05	-1.410827e-07
349	1.062969e-05	2.521384e-07	1.045097e-05	7.067693e-07
