aspect_ratio	Y_m1_matrix	Y_1d_sim	sigma_drift_over_xi	max_u	mode_gap	is_mode	mesh_ok
0.02	1.3211435852059417	1.2970542598746582	-0.00028554527131685603	0.9900590517020166	0.3310845335039251	1	0
0.05	1.3082437902382393	1.2892959895061118	-0.00012938959272346118	0.9788257123055618	0.3294180779326775	1	0
0.1	1.2897761726306745	1.2735707406344943	-6.895926419892007e-5	0.9619754481260375	0.32780072450463693	1	1
0.2	1.2604416636829985	1.2462120240028463	-3.731175638455042e-5	0.9338246772383461	0.3266169864446524	1	1
0.3	1.2380445138853946	1.223289152555218	-2.6726842033975018e-5	0.9112671759625688	0.3267773379228258	1	1
0.5	1.2060073664047155	1.1899158488831774	-1.7904675347901744e-5	0.8773297860864536	0.3286775803182619	1	1
0.7	1.184171676361545	1.167408482685628	-1.4319016317099198e-5	0.8530587992838767	0.33111287707766834	1	1
0.85	1.1718733737705378	1.1527865460365994	-1.2624650019832373e-5	0.8389410563447419	0.3329323174257959	1	1
1.0	1.1619505954745812	1.142738195771792	-1.1409741240697713e-5	0.8273028870364718	0.3346477084381094	1	1
