# solver=pic plane=x turns=8192 n_macro=100000 records=8192
# q_bare=0.31 xi=0.005000000000000001
# q_sigma=0.3100018030288964 q_pi=0.3159968226010414 lambda=1.1990039144289975
tune	amp_sigma	amp_pi
0.0	0.0002953386295998786	0.0002649610309174794
0.0001220703125	0.00014766129262711177	0.00013242225766371086
0.000244140625	4.401914680443391e-9	1.6635302856546512e-7
0.0003662109375	9.498223260586703e-9	1.7231823351432716e-7
0.00048828125	4.054210888875288e-9	1.6597614844912083e-7
0.0006103515625	1.2019366968667197e-8	3.2098807387338643e-7
0.000732421875	8.66388726889739e-9	2.4626310483921184e-7
0.0008544921875	1.3379376172123609e-8	3.414548673953138e-8
0.0009765625	6.7191044087414675e-9	5.270439030272826e-8
0.0010986328125	4.196561337487213e-9	1.0116581166628805e-7
0.001220703125	5.769243372968799e-9	1.0152593156345583e-7
0.0013427734375	1.4471435305772039e-8	4.268463546281706e-8
0.00146484375	1.0117946728496767e-8	1.4900255161079804e-7
0.0015869140625	4.615430050520599e-9	1.9955236302602933e-7
0.001708984375	1.0697826110963095e-8	2.527779506353155e-7
0.0018310546875	1.2277706006906414e-8	3.3066980324285955e-7
0.001953125	9.746074294528712e-9	2.465241436143546e-7
0.0020751953125	1.570135009927501e-8	1.335512534106095e-7
0.002197265625	3.2222493696112843e-9	7.410446113977672e-8
0.0023193359375	8.305416048465464e-9	6.036961791224627e-8
0.00244140625	7.341855398754536e-9	1.5430515146935472e-7
0.0025634765625	1.5997040533366493e-8	2.228276500907869e-7
0.002685546875	1.3178413832034507e-8	2.285236835137539e-7
0.0028076171875	3.540966384056896e-9	2.2305772164309177e-7
0.0029296875	6.668942613587788e-9	1.4794261528213606e-7
0.0030517578125	2.476538106312181e-9	7.21114146186174e-8
0.003173828125	5.760689189438328e-9	2.5588469296543075e-7
0.0032958984375	7.242916234710912e-9	2.2274408047447117e-7
0.00341796875	9.904634370909288e-9	1.638482912610643e-7
0.0035400390625	1.6908605883244598e-8	2.015163485360077e-7
0.003662109375	1.657532551314484e-8	2.813362253872719e-7
0.0037841796875	1.1290275805636975e-8	2.041570053115422e-7
0.00390625	4.479226673556119e-9	9.515152395228653e-8
0.0040283203125	4.696903485837375e-9	7.187431092827665e-8
0.004150390625	1.1654226306585649e-8	3.3061146377179067e-7
0.0042724609375	1.0171505468477705e-8	5.380241464874549e-7
0.00439453125	1.1514638957206648e-8	4.2660367522859716e-7
0.0045166015625	1.1009772653670048e-8	4.085630772706804e-7
0.004638671875	3.973060660493052e-9	2.579683600339954e-7
0.0047607421875	1.1599209938728207e-8	1.6349186206971263e-7
0.0048828125	5.925164484607332e-9	1.4384324242042e-7
0.0050048828125	2.393392755184268e-9	1.4946567869915518e-7
0.005126953125	2.8647228334049103e-9	1.0026425260634564e-7
0.0052490234375	5.915387832127493e-9	1.8687574366367843e-7
0.00537109375	1.2589031059372693e-8	2.5288597962661307e-7
0.0054931640625	1.8804623824890974e-8	1.4035465165996738e-7
0.005615234375	1.635126905255408e-8	1.8073827511965161e-7
0.0057373046875	1.0855323395057936e-8	2.529017047768846e-7
0.005859375	5.154134776979255e-9	4.4543106124841583e-7
0.0059814453125	5.058195875637197e-9	4.866430215173806e-7
0.006103515625	1.1881952612570657e-8	1.8687706265953164e-7
0.0062255859375	1.749308345903478e-8	3.6865138824179775e-7
0.00634765625	1.1551132042808732e-8	2.7859829078975013e-7
0.0064697265625	8.454423582490453e-9	2.995041625627831e-7
0.006591796875	2.419672363049849e-9	2.0221393135595962e-7
0.0067138671875	1.7376825190645985e-8	3.5766558587267525e-7
0.0068359375	2.2978875059313687e-8	4.668628168068701e-7
0.0069580078125	1.8393546505567364e-8	3.64526956581275e-7
0.007080078125	1.122240796914139e-8	2.4688681261271604e-7
0.0072021484375	1.71096587118686e-8	4.029325211728251e-7
0.00732421875	6.5353243887602395e-9	4.020718759095847e-7
0.0074462890625	4.6576769523497395e-9	4.0082261980293264e-7
0.007568359375	1.0513407625225724e-8	3.1087199798163963e-7
0.0076904296875	5.302627284831602e-9	3.814841722954185e-7
0.0078125	8.713686912939767e-9	2.0752261197538927e-7
0.0079345703125	3.580128030505439e-9	2.7030070713713967e-7
0.008056640625	1.8488662613680276e-8	4.040021953402814e-7
0.0081787109375	1.4936043100199686e-8	1.4892762252918984e-7
0.00830078125	3.34207373486566e-9	1.8909958121938533e-7
