# Narrow-plane branch of the 1D reduction: r = sigma_wide/sigma_narrow >= 1.
# Self-check 4 passes throughout this range (it fails only for r <= 0.3).
# Y_1d_sim here uses the DEFAULT periodic box L=24, which is NOT converged
# at large r -- see yokoya_box_convergence.tsv.  Quote Y_m1_matrix.
aspect_ratio	Y_m1_matrix	Y_1d_sim_L24	spread_percent_L24
1.0	1.1619516214934067	1.142738195771792	1.653547821287138
1.5	1.1393674304449042	1.1145419341052676	2.178884148895033
2.0	1.1256720536344633	1.0979438035132905	2.463261838263331
3.0	1.109921708185957	1.0734249593605971	3.288227318754733
5.0	1.0955622408961196	1.042625313096024	4.8319416117148855
11.111	1.082354767720628	1.0011939455678187	7.498541566341411
20.0	1.0772229628561503	0.9769834874166439	9.30536006898064
50.0	1.0732541758566416	0.9538647548397949	11.1240583733628
100.0	1.0719081253784402	0.9441353602017588	11.920122830636327
500.0	1.0708246249205744	0.9360040197357367	12.590353457256153
