# Kick-error systematic/fluctuation split, 81x81 field grid +-4 sigma,
# median over field points, normalized by peak exact kick.
# R independent source realizations per row.
family	grid	deposit	n_macro	R	bias	fluctuation	total_median	bias_floor_bootstrap	bias_floor_rayleigh	bias_floor_bootstrap_uncentered
round	64	CIC	100000	100	0.0004506035397250111	0.0013707599503280587	0.0012032446708422205	0.00010759821545784992	0.00011412325174359219	0.00011979851902215152
round	64	TSC	100000	100	0.0004969551086552534	0.0013537649719298653	0.0012002579454646908	0.0001070263439935521	0.00011270832698039806	0.00012146183339823716
round	128	CIC	100000	100	0.0001244395128134255	0.0014312187163439349	0.0011810000579653478	0.00011094629541349012	0.0001191567741867344	0.0001128395295012855
round	128	TSC	100000	100	0.0001321688413518613	0.0014215008927808605	0.0011763722119654976	0.00011003669381889004	0.00011834771230494895	0.00011188239404266994
round	256	CIC	100000	100	8.256766557888793e-5	0.0014969367155428597	0.0012336966276117814	0.00011593238642315393	0.00012462815651364666	0.00011654940130550637
round	256	TSC	100000	100	8.29516529776565e-5	0.0014851182187752667	0.0012233180022962512	0.00011503300728486415	0.00012364420211556548	0.00011605077614069792
flat11	64	CIC	100000	100	0.0014540391165461094	0.002538358865421713	0.002493679480083842	0.0001763960521484135	0.0002113322378179869	0.0002093348655321061
flat11	64	TSC	100000	100	0.001972164553915857	0.0024613787814652716	0.0027154910266995068	0.00017139646364013262	0.0002049232254314627	0.00022005133629027858
flat11	128	CIC	100000	100	0.0004156814076306841	0.0027982049865345787	0.0023267108932849526	0.00019388843162395828	0.0002329658464503827	0.00019371864038383142
flat11	128	TSC	100000	100	0.000533700324060274	0.00274784001337426	0.0023141799616908706	0.00018983086125621583	0.000228772687385837	0.0001952912905617539
flat11	256	CIC	100000	100	0.00017106871356666886	0.0029693454270059943	0.002450671314348299	0.00020762974089766988	0.00024721422273738636	0.000207662277885591
flat11	256	TSC	100000	100	0.000184879191834268	0.0029312867073890267	0.002426994069616862	0.00020435518041763166	0.0002440456264861999	0.00020495060613552114
