# Median |K_num - K_exact| / max|K_exact|, 81x81 field grid +-4 sigma
family_case	soft_gaussian	pic	hybrid	spectral
# family=round (gate) sigx=0.002 sigy=0.002 picgrid=128 hybgrid=64 spectral=(127, 127) domain_factor=16.0 seed=66
1e+04	0.0019084784603139958	0.0032080584740916277	0.0030429135374027043	0.0031516687297870934
1e+05	0.0008616927963436927	0.001147314237634736	0.0011052035454770972	0.0015127273079400833
1e+06	0.0003003932094052865	0.00041315244836845057	0.00038380339362867154	0.0011242668349461375
deterministic	6.269225750620516e-5	0.00040718749441048666	0.0001565443659572976	0.0012336911119515358
# family=flat 11:1 sigx=0.002 sigy=0.00018181818181818183 picgrid=128 hybgrid=64 spectral=(127, 383) domain_factor=8.0 seed=66
1e+04	0.004077893868079915	0.006397179929951241	0.005171143174219057	0.006592210419333719
1e+05	0.0008931861333352835	0.002077697896504086	0.002079211435714503	0.004004453641820199
1e+06	0.00022293381659411012	0.0007661643300598645	0.0006200797336948542	0.00298620111515285
deterministic	0.00047785229597137373	0.0009656169664357046	0.00023757252261572882	0.003776367528549289
