# solver=pic plane=y turns=8192 n_macro=100000 records=8192
# q_bare=0.32 xi=0.005000000000000001
# q_sigma=0.319996520227176 q_pi=0.326028674649388 lambda=1.2064308844423997
tune	amp_sigma	amp_pi
0.0	0.00023653638105889538	0.00018109204629346463
0.0001220703125	0.00011825907285022678	9.055214079982474e-5
0.000244140625	1.677947882875013e-8	2.2719811720491344e-8
0.0003662109375	1.8539541094253514e-8	6.302621016762825e-8
0.00048828125	9.009182283097605e-9	7.301176412677853e-8
0.0006103515625	1.1832183895432918e-8	1.0111238848791392e-7
0.000732421875	1.5045207507288608e-8	9.787208749608237e-8
0.0008544921875	3.5586799321241174e-9	7.625394140816424e-8
0.0009765625	8.393958491053385e-9	6.15787304077531e-8
0.0010986328125	5.393399611946711e-9	4.1644864931940744e-8
0.001220703125	6.443410085490122e-9	8.426202439462759e-8
0.0013427734375	6.941623589084105e-9	9.314116317708892e-8
0.00146484375	1.4414922729202394e-8	1.634270382842907e-8
0.0015869140625	1.4457353434436267e-8	8.738663014516004e-8
0.001708984375	3.9218736350646135e-9	1.0469017776485222e-7
0.0018310546875	6.850441294313495e-9	7.993372598794636e-8
0.001953125	6.806681700548096e-9	6.896711262215644e-8
0.0020751953125	1.4147570799663203e-8	1.736520067522217e-7
0.002197265625	7.180590710520658e-9	1.627385697305356e-7
0.0023193359375	6.716993708182006e-9	4.714877705260846e-9
0.00244140625	9.986533084421066e-10	7.858257004216487e-8
0.0025634765625	1.1678341806493029e-8	2.517007060701807e-8
0.002685546875	1.0818739741888293e-8	8.748410871737535e-8
0.0028076171875	9.340752321261458e-9	2.41841772104261e-8
0.0029296875	1.5385959683772525e-8	7.81497854797528e-8
0.0030517578125	3.017603492186215e-9	7.582018503101813e-8
0.003173828125	1.273753681326327e-8	1.1782862709825733e-7
0.0032958984375	1.3344025439243083e-8	2.5180368625565487e-7
0.00341796875	9.640427292069826e-9	2.3628297992134093e-7
0.0035400390625	1.6296766785494126e-8	1.5890991669805737e-7
0.003662109375	2.0075500955738327e-8	1.0655742452239737e-7
0.0037841796875	1.0177593760995153e-8	3.438949615709783e-8
0.00390625	1.6127717828883677e-9	5.166114504924011e-8
0.0040283203125	5.997446489875866e-9	9.011455257440678e-8
0.004150390625	1.0221287520737438e-8	1.0547962505536185e-7
0.0042724609375	1.1908762520977259e-8	1.1460362826423048e-7
0.00439453125	9.05372655332395e-9	1.2598181896079688e-7
0.0045166015625	5.88941328690573e-9	1.3988056496974376e-7
0.004638671875	6.977179689995872e-9	6.32424313789198e-8
0.0047607421875	7.818900966114351e-9	1.2040399581768223e-7
0.0048828125	7.958383603651202e-9	1.8500482994202663e-7
0.0050048828125	1.8454634597284278e-8	1.7616474377347805e-7
0.005126953125	9.183178698480973e-9	1.0439318371460859e-7
0.0052490234375	1.16918318422363e-8	1.1770712710294883e-7
0.00537109375	1.4564526068215093e-8	1.1510128896523702e-8
0.0054931640625	4.37240956381944e-9	1.5198544988806403e-7
0.005615234375	1.0611885856307644e-8	1.694504779819361e-7
0.0057373046875	1.013869783233762e-8	1.0130212049356879e-7
0.005859375	6.420891837678267e-9	6.734566897692525e-8
0.0059814453125	7.4332334466305685e-9	1.0851625672798979e-7
0.006103515625	1.6749325001556576e-8	1.349494528174277e-7
0.0062255859375	2.6947434582506648e-8	1.2532493136831016e-7
0.00634765625	2.79500336303842e-8	1.1092162985689848e-7
0.0064697265625	2.6392655486389052e-8	7.525432578633297e-8
0.006591796875	1.4931348657582e-8	7.400916914524765e-8
0.0067138671875	5.842633452363225e-9	1.1123941687739702e-7
0.0068359375	6.975994567398458e-9	1.7526683686725085e-7
0.0069580078125	7.713040229864399e-9	1.220805874158703e-7
0.007080078125	1.7872236065204975e-8	8.781021683990169e-8
0.0072021484375	2.195808978998382e-8	3.942863615916679e-8
0.00732421875	3.675847977298941e-8	3.451944971899308e-8
0.0074462890625	4.7661935696290004e-8	5.832076159069925e-8
0.007568359375	2.624066891055835e-8	1.5330594935399085e-7
0.0076904296875	1.6702858568260182e-8	1.7280868309511533e-7
0.0078125	1.846243075218267e-8	1.326588667776055e-7
0.0079345703125	1.0912368055153321e-8	1.3644976693856164e-7
0.008056640625	1.5430637968839635e-8	7.441384821997682e-8
0.0081787109375	8.020516357789356e-9	2.1182575331077097e-7
0.00830078125	3.6214813884647916e-9	3.367806798253581e-8
0.0084228515625	7.037745664630636e-9	1.3610147899761436e-7
0.008544921875	1.1518854563395753e-8	2.681830511921852e-7
0.0086669921875	1.3879309470609769e-8	3.951979990122791e-7
0.0087890625	5.3239407213379175e-9	2.8574258869698554e-7
0.0089111328125	8.594905722570334e-9	1.4764898339817745e-7
0.009033203125	7.554668833129014e-9	4.1443933751475556e-7
0.0091552734375	1.5733044000362517e-8	5.050578398909379e-7
0.00927734375	1.0181841029610702e-8	2.9753228008189803e-7
0.0093994140625	8.321755964590296e-9	1.8276648509624758e-7
0.009521484375	1.0463363205134183e-8	1.591315794800982e-8
