xi	Y_measured	q_sigma
0.0025	1.1829667553636458	0.31001408191175883
0.005	1.1883888442914992	0.31001418185255686
0.01	1.1848934544116285	0.3100143388609474
0.02	1.1521311265528356	0.31001448966832984
