# Median |K_num - K_exact| / max|K_exact|, 81x81 field grid +-4 sigma
family_case	soft_gaussian	pic	hybrid	spectral
# family=round (gate) sigx=0.002 sigy=0.002 picgrid=128 hybgrid=64 spectral=(127, 127) domain_factor=16.0 seed=33
1e+04	0.0021093180318615115	0.0032856296468598977	0.0029957872420129433	0.0031210809589068142
1e+05	0.0006584878492760573	0.0011331390203182558	0.0010434578995810078	0.0014744166086901125
1e+06	0.00022903676584267195	0.0004967437500179192	0.000437814181311091	0.001135810942114061
deterministic	6.269225750620516e-5	0.00040718749441048666	0.0001565443659572976	0.0012336911119515358
# family=flat 11:1 sigx=0.002 sigy=0.00018181818181818183 picgrid=128 hybgrid=64 spectral=(127, 383) domain_factor=8.0 seed=33
1e+04	0.0032705262394724234	0.005927719996899793	0.005087443001024556	0.006232303251239578
1e+05	0.0006479147785254108	0.002026489797331626	0.0015955921689023037	0.0037206509020554284
1e+06	0.00020689890177685657	0.0007137499122285007	0.00035922380643425963	0.003166832536009819
deterministic	0.00047785229597137373	0.0009656169664357046	0.00023757252261572882	0.003776367528549289
