# Kick-error systematic/fluctuation split, 81x81 field grid +-4 sigma,
# median over field points, normalized by peak exact kick.
# R independent source realizations per row.
family	grid	deposit	n_macro	R	bias	fluctuation	total_median
round	64	CIC	100000	12	0.0004425460596190098	0.0013568251164901121	0.0012074018422638783
round	64	TSC	100000	12	0.00047897144020722903	0.0013361247162176821	0.0011981931739467845
round	128	CIC	100000	12	0.0002567613357156197	0.0014132286020062282	0.0011961501204262228
round	128	TSC	100000	12	0.0002562674143180319	0.0014054354163121478	0.001194202460460335
flat11	64	CIC	100000	12	0.00190903042782641	0.0026850310995268885	0.00293472456286587
flat11	64	TSC	100000	12	0.0023875915478406427	0.0026254075862547303	0.0031321750146884805
flat11	128	CIC	100000	12	0.0007860879147962443	0.0028405542395777777	0.0024802012496978813
flat11	128	TSC	100000	12	0.0008966105375431636	0.002813449092394664	0.0024948717476026405
