# Kick-error systematic/fluctuation split, 81x81 field grid +-4 sigma,
# median over field points, normalized by peak exact kick.
# R independent source realizations per row.
family	grid	deposit	n_macro	R	bias	fluctuation	total_median	bias_floor_bootstrap	bias_floor_rayleigh	bias_floor_bootstrap_uncentered
round	64	CIC	100000	100	0.00047674730057355966	0.0013291990907308114	0.0011689530906488091	0.00010380577972819268	0.00011066308321345561	0.00011698407272903432
round	64	TSC	100000	100	0.0005332332515609329	0.0013129642429672455	0.0011599416256823376	0.00010192063276000542	0.0001093114434767556	0.00011824204077107933
round	128	CIC	100000	100	0.00015300154623814325	0.0013949935163882598	0.0011491606750922987	0.00010841896337037332	0.00011614082846041371	0.00010884729846555712
round	128	TSC	100000	100	0.00016298558350268582	0.0013816233773916748	0.001139145231366476	0.00010758479052678672	0.00011502769137307108	0.0001082517142266654
round	256	CIC	100000	100	0.00010530285705245489	0.0014595890868607177	0.0011979754957665715	0.0001127506665474474	0.00012151876246613439	0.00011348625620232131
round	256	TSC	100000	100	0.00010599393319123158	0.001449273359606019	0.0011900049742601204	0.00011192031358417685	0.00012065992183679994	0.00011253374142583585
flat11	64	CIC	100000	100	0.0014871135962678662	0.0025825233479985317	0.002520376079766006	0.0001846942469870996	0.00021500917217985932	0.0002238927255955361
flat11	64	TSC	100000	100	0.001987353662728456	0.0025070262174483548	0.002738078651001826	0.0001797447553462193	0.00020872362376298686	0.00023628266098009207
flat11	128	CIC	100000	100	0.0004244307536828518	0.00283551632891306	0.002405020416693506	0.00020345731681842218	0.00023607221946495154	0.0001993203075659131
flat11	128	TSC	100000	100	0.000521026477832485	0.0027799435276422	0.0023683362068219575	0.00020028497956064333	0.00023144548026965102	0.00020015650069054545
flat11	256	CIC	100000	100	0.0001959501526693044	0.003053604954242584	0.002517753067753201	0.0002190230979481786	0.0002542292885308654	0.00021781121507282055
flat11	256	TSC	100000	100	0.00020505880032735852	0.003009389788512175	0.0024853502946587257	0.00021616739008060168	0.00025054813451967	0.00021370408468544954
