# Kick-error systematic/fluctuation split, 81x81 field grid +-4 sigma,
# median over field points, normalized by peak exact kick.
# R independent source realizations per row.
family	grid	deposit	n_macro	R	bias	fluctuation	total_median	bias_floor_bootstrap	bias_floor_rayleigh	bias_floor_bootstrap_uncentered
round	64	CIC	100000	100	0.0004936568321386155	0.0013149805133863364	0.0011818100437267685	0.00010266934349225228	0.0001094793090002311	0.00011339611611878281
round	64	TSC	100000	100	0.0005364239706087478	0.001294550837983364	0.0011712819654474173	0.0001010621109187474	0.00010777842695411113	0.00011367556482402825
round	128	CIC	100000	100	0.00017153618085246318	0.0013789706537479542	0.001159776760479568	0.0001068609791595782	0.00011480683764290042	0.00010862741723975268
round	128	TSC	100000	100	0.00018129339946176622	0.0013668963317341337	0.001151368624249041	0.00010618807294113045	0.0001138015843959795	0.00010791831755486774
round	256	CIC	100000	100	0.00011549184701791717	0.0014416180604223154	0.0012104818754146336	0.00011202659827671842	0.00012002257637328151	0.00011255656747944874
round	256	TSC	100000	100	0.00011641218790724157	0.0014309278728926584	0.0012011428421200043	0.00011133078957293972	0.00011913255988108587	0.00011177066796841544
flat11	64	CIC	100000	100	0.0013298677164678616	0.002474982525761323	0.002482478970582634	0.00017286900036105334	0.00020605581143573148	0.00019900485914237516
flat11	64	TSC	100000	100	0.0018069309816005565	0.0023933009488754623	0.0026399649074695416	0.00016749733218311761	0.00019925537408743596	0.00020439123439582775
flat11	128	CIC	100000	100	0.0003068417282754279	0.0027600209957643128	0.0023083354944389398	0.000192423571053873	0.00022978682069156391	0.00019079373397978833
flat11	128	TSC	100000	100	0.00038515294909328355	0.00270780990680743	0.0022707156401657346	0.00018916169956170438	0.00022543996240510217	0.00018872766668804014
flat11	256	CIC	100000	100	0.00015123986620480112	0.0029622572881227694	0.002473725637916811	0.00020608531907245417	0.00024662409646621086	0.00020576395841578036
flat11	256	TSC	100000	100	0.00014882951124083488	0.0029208843237799676	0.00244024611555911	0.00020324477616074613	0.00024317957124212456	0.00020397261380917167
