# Median |K_num - K_exact| / max|K_exact|, 81x81 field grid +-4 sigma
family_case	soft_gaussian	pic	hybrid	spectral
# family=round (gate) sigx=0.002 sigy=0.002 picgrid=128 hybgrid=64 spectral=(127, 127) domain_factor=16.0 seed=11
1e+04	0.0018763784504911129	0.003003488677473843	0.002749149150578206	0.0029193141535257595
1e+05	0.0010724860889333317	0.0014148527403574692	0.0013689982606185109	0.0017635228246702913
1e+06	0.0001936895314201635	0.0003458455618775404	0.0002942666823670666	0.0011211698486271796
deterministic	6.269225750620516e-5	0.00040718749441048666	0.0001565443659572976	0.0012336911119515358
# family=flat 11:1 sigx=0.002 sigy=0.00018181818181818183 picgrid=128 hybgrid=64 spectral=(127, 383) domain_factor=8.0 seed=11
1e+04	0.0019798512422028475	0.006930917992539238	0.006704238066051581	0.006789846417283957
1e+05	0.0013402242833133397	0.002085085989278434	0.001653088729228489	0.0038461146724448896
1e+06	0.00019346371920240423	0.0007737583672743035	0.00043508141871613265	0.0030341848219855804
deterministic	0.00047785229597137373	0.0009656169664357046	0.00023757252261572882	0.003776367528549289
