# Median |K_num - K_exact| / max|K_exact|, 81x81 field grid +-4 sigma
family_case	soft_gaussian	pic	hybrid	spectral
# family=round (gate) sigx=0.002 sigy=0.002 picgrid=128 hybgrid=64 spectral=(127, 127) domain_factor=16.0 seed=22
1e+04	0.0026248149362749205	0.003843921728884337	0.0036949511591562235	0.0035767365094103456
1e+05	0.0008268866947785246	0.001223247147638331	0.0011576930866765223	0.001647727864016082
1e+06	0.00025756809157066	0.0003880151496650601	0.000320251765381051	0.0011390900696221261
deterministic	6.269225750620516e-5	0.00040718749441048666	0.0001565443659572976	0.0012336911119515358
# family=flat 11:1 sigx=0.002 sigy=0.00018181818181818183 picgrid=128 hybgrid=64 spectral=(127, 383) domain_factor=8.0 seed=22
1e+04	0.0027469775435695664	0.005062202960671858	0.004257930020170985	0.005594164460430697
1e+05	0.0012895208284148657	0.002189534420148976	0.0017678624799778587	0.004028847726488284
1e+06	0.0004004007618358989	0.0007997731258964632	0.0005676117966870216	0.0029700807444295943
deterministic	0.00047785229597137373	0.0009656169664357046	0.00023757252261572882	0.003776367528549289
