turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042908293953415e-8	1.6115840823421875e-9	3.8499871731240865e-6	1.1281249147272375e-8	1.0034676489862682e-9	3.959997587408601e-5
1.0	2.0901015345069068e-8	1.624687393572444e-9	3.849987607336397e-6	1.1285551190863918e-8	1.0051040823745394e-9	3.959997592048985e-5
2.0	2.1007171056090114e-8	1.6231059831912581e-9	3.849988236978106e-6	1.1296741501993848e-8	1.0049346680565758e-9	3.959997613455441e-5
3.0	2.085250203636616e-8	1.6316769673246781e-9	3.84998845966683e-6	1.1314511325803195e-8	1.0069931790825936e-9	3.9599975788032934e-5
4.0	2.072832568004235e-8	1.6447314975630438e-9	3.84998799750849e-6	1.1325405469623889e-8	1.0077050822289635e-9	3.959997617564418e-5
5.0	2.132290179821863e-8	1.6345014999293467e-9	3.849987527217579e-6	1.1334590862613526e-8	1.008015474929188e-9	3.9599975731941694e-5
6.0	2.1897052626635594e-8	1.6426010111464484e-9	3.8499867951045705e-6	1.1344836507752432e-8	1.009249971684073e-9	3.959997592464628e-5
7.0	2.1527601273028406e-8	1.6365079438849684e-9	3.84998764804992e-6	1.1350275604546922e-8	1.0088914668416749e-9	3.959997558004835e-5
8.0	2.1330714587457827e-8	1.6380251338464362e-9	3.84998803651354e-6	1.1348141453645567e-8	1.0100260318019033e-9	3.959997543638195e-5
9.0	2.168827427219692e-8	1.6499011529619076e-9	3.849987890685937e-6	1.1341361002654527e-8	1.0097164086712444e-9	3.9599975597539655e-5
10.0	2.2441150351205903e-8	1.6435372002739306e-9	3.84998812442643e-6	1.1328721224103054e-8	1.0111315611567533e-9	3.959997523541743e-5
11.0	2.2313710574096926e-8	1.6498921362154818e-9	3.849987728995419e-6	1.130704156037273e-8	1.0113716649639637e-9	3.95999755746692e-5
12.0	2.1827157358166646e-8	1.651477420159822e-9	3.849987175391346e-6	1.1298814739898395e-8	1.012145319438696e-9	3.9599975009656886e-5
13.0	2.1904189916247255e-8	1.6498192876955937e-9	3.849987736002411e-6	1.1289085742962524e-8	1.012427705590706e-9	3.959997516784935e-5
14.0	2.232968135879035e-8	1.6538758304763865e-9	3.849988400660591e-6	1.128583861120785e-8	1.0124446267203623e-9	3.95999749575528e-5
15.0	2.2444202352570275e-8	1.6496185880520538e-9	3.849987286792026e-6	1.1285646697161411e-8	1.0124490236069526e-9	3.9599974851796866e-5
16.0	2.2185782552593996e-8	1.648224065896832e-9	3.849986993111813e-6	1.1293500280751987e-8	1.0114240963728156e-9	3.9599974711983386e-5
17.0	2.207544547517839e-8	1.648044751171501e-9	3.849987872271987e-6	1.130192644424796e-8	1.0116125748595437e-9	3.959997425065709e-5
