# Kick-error systematic/fluctuation split, 81x81 field grid +-4 sigma,
# median over field points, normalized by peak exact kick.
# R independent source realizations per row.
family	grid	deposit	n_macro	R	bias	fluctuation	total_median	bias_floor_bootstrap	bias_floor_rayleigh	bias_floor_bootstrap_uncentered
round	64	CIC	100000	100	0.000468382367848253	0.0013280626449328325	0.0011744813749156263	0.0001031134611985055	0.0001105684678945118	0.00011545574620647686
round	64	TSC	100000	100	0.0005115786307397192	0.0013104787249126856	0.0011795543652461326	0.00010179805856766033	0.00010910451052501165	0.000116778475334894
round	128	CIC	100000	100	0.000181787385184996	0.001391705222609399	0.0011643500691579558	0.00010735661679283917	0.00011586706004557053	0.00010993905403657055
round	128	TSC	100000	100	0.00018586668207998315	0.0013808348597889731	0.001152081783828748	0.00010728192324616076	0.00011496204297646026	0.00010917372954511377
round	256	CIC	100000	100	0.0001511266714398934	0.001460646760289664	0.001212510112240373	0.00011194282473567524	0.00012160681955517122	0.00011444479630222317
round	256	TSC	100000	100	0.00015221945362511204	0.0014464057245208968	0.001208544209571688	0.00011120575941718531	0.00012042117555547633	0.00011363691455269541
flat11	64	CIC	100000	100	0.001283606912837701	0.002450157895149414	0.0024101800948569687	0.00017026150615458618	0.00020398902536710833	0.00020297815088185864
flat11	64	TSC	100000	100	0.0017920546615918865	0.0023675140920714774	0.002627685040156171	0.00016285899817252046	0.00019710847743349387	0.00021553712971602538
flat11	128	CIC	100000	100	0.000316100568023791	0.0027434825251704013	0.0023481645942230347	0.00018850865109798612	0.00022840990269611821	0.0001927776934800414
flat11	128	TSC	100000	100	0.00039249782764900305	0.002687692865092032	0.002299578107687366	0.00018528965216285984	0.00022376510882080153	0.0001904241201158366
flat11	256	CIC	100000	100	0.00018726604521852373	0.0029277862162845345	0.0024943737259975774	0.0002031871353361679	0.00024375419148516377	0.00020652454440216292
flat11	256	TSC	100000	100	0.00018572041222761414	0.002897391963471586	0.0024588076858493026	0.00020085538060182954	0.00024122370395195247	0.00020365764845313515
