source_slice	boundary_after_slice	z_boundary	grid_mode	jump_px_linear	jump_py_linear	jump_pz_linear	jump_px_quadratic	jump_py_quadratic	jump_pz_quadratic
4	3	-0.0012600865885489358	common_grid	2.2543636774204798e-9	1.849185406650692e-8	0.5163396784950681	2.2606641548745084e-9	1.769734342872082e-8	0.03937813709641121
4	4	0.001260086588548935	common_grid	2.0741527363251258e-9	1.6102712517440476e-8	0.4547142071847815	2.0632610343127688e-9	1.6366429347642568e-8	0.10915834532659968
4	3	-0.0012600865885489358	per_slice_grid	0.0010266959710929409	0.001304398467551795	0.5869020421346086	NaN	NaN	NaN
4	4	0.001260086588548935	per_slice_grid	0.0016181003427938585	0.003077252778028771	0.6925258761558336	NaN	NaN	NaN
4	3	-0.0012600865885489358	source_slice_grid	2.4149847096641282e-9	2.1636028976345277e-8	0.6061129877970683	NaN	NaN	NaN
4	4	0.001260086588548935	source_slice_grid	2.2792662410529434e-9	1.861037640165826e-8	0.5598359235876079	NaN	NaN	NaN
4	3	-0.0012600865885489358	node_grid	1.1193883795650476e-9	2.5605790137805597e-8	0.5467813348804251	NaN	NaN	NaN
4	4	0.001260086588548935	node_grid	4.26902111308549e-9	2.178303776306497e-8	0.6480509235990968	NaN	NaN	NaN
4	3	-0.0012600865885489358	node_source_evolution	2.205392306755444e-5	8.071757072827168e-5	NaN	NaN	NaN	NaN
4	4	0.001260086588548935	node_source_evolution	2.2252554466311975e-5	7.58146026207909e-5	NaN	NaN	NaN	NaN
6	3	-0.0012600865885489358	common_grid	4.073287408847189e-9	2.921988208915755e-8	0.04941598041167731	4.062097805710387e-9	2.9817750199192605e-8	0.002887388182423513
6	4	0.001260086588548935	common_grid	3.6774402906746137e-9	2.63946440832353e-8	0.05156907562641679	3.6973070007057515e-9	2.581577068725414e-8	0.002983590332429982
6	3	-0.0012600865885489358	per_slice_grid	0.001090585255542863	0.0048358532410338806	0.04010654863818025	NaN	NaN	NaN
6	4	0.001260086588548935	per_slice_grid	0.0003742384209838869	0.00030952506462283627	0.052852805094488156	NaN	NaN	NaN
6	3	-0.0012600865885489358	source_slice_grid	3.4866290364182164e-9	3.039224764169452e-8	0.03894477684562632	NaN	NaN	NaN
6	4	0.001260086588548935	source_slice_grid	3.174714452616759e-9	2.8176479797421467e-8	0.037797237215636575	NaN	NaN	NaN
6	3	-0.0012600865885489358	node_grid	3.46241144291008e-9	3.070058529898058e-8	0.04745653966325805	NaN	NaN	NaN
6	4	0.001260086588548935	node_grid	5.0419672976395285e-9	2.364077499210976e-8	0.031666902831487195	NaN	NaN	NaN
6	3	-0.0012600865885489358	node_source_evolution	3.405964064239484e-5	6.503010315349289e-5	NaN	NaN	NaN	NaN
6	4	0.001260086588548935	node_source_evolution	3.62982019077612e-5	5.6094890005323416e-5	NaN	NaN	NaN	NaN
