# Median |K_num - K_exact| / max|K_exact|, 81x81 field grid +-4 sigma
family_case	soft_gaussian	pic	hybrid	spectral
# family=round (gate) sigx=0.002 sigy=0.002 picgrid=128 hybgrid=64 spectral=(127, 127) domain_factor=16.0 seed=55
1e+04	0.002616047133057001	0.0037798502154329683	0.0033928153682368516	0.003577988561644233
1e+05	0.0005794377291780928	0.0008859014370787671	0.0008146934535524939	0.001331932053225304
1e+06	0.000236393015731887	0.0003381992302680706	0.0003008592933169557	0.0010927131975754071
deterministic	6.269225750620516e-5	0.00040718749441048666	0.0001565443659572976	0.0012336911119515358
# family=flat 11:1 sigx=0.002 sigy=0.00018181818181818183 picgrid=128 hybgrid=64 spectral=(127, 383) domain_factor=8.0 seed=55
1e+04	0.003364554913308068	0.007822955227492734	0.00728294639497508	0.0076558238218939765
1e+05	0.0009373749870013805	0.0019082553066191498	0.001447357162696846	0.004065133010738726
1e+06	0.0003465880535097263	0.0007599752641867068	0.0004955898554380498	0.0031229986650374384
deterministic	0.00047785229597137373	0.0009656169664357046	0.00023757252261572882	0.003776367528549289
