turn	x1	x2	y1	y2
41	1.38901128617705e-7	-2.4407000445352844e-7	1.0136000511454624e-7	-4.2308096002271823e-8
42	-1.6999253652934722e-7	2.776727623942824e-8	-1.2409564021450934e-7	-9.751054755657387e-8
43	-2.0330600096216193e-8	2.3134062792093388e-7	4.3750603943747745e-9	1.3232623492395902e-7
44	1.9933193917092118e-7	-2.1216576655757147e-7	1.258449926095397e-7	-2.2046329299516693e-8
45	-1.3402078514819518e-7	-6.177033439514954e-8	-1.1616784780076664e-7	-1.1921951162732986e-7
46	-1.0966799565860895e-7	2.6683072467720146e-7	-3.183070683440103e-8	1.307275819605071e-7
47	2.2782507221170166e-7	-1.5490144768018622e-7	1.455633169065608e-7	1.1490152931926956e-10
48	-5.8932670633212936e-8	-1.4328938642627786e-7	-9.44769208512869e-8	-1.354608368329014e-7
49	-1.955785529784039e-7	2.7207310609683134e-7	-7.070505042964503e-8	1.2068213226192768e-7
50	2.140080965494794e-7	-8.075963515156981e-8	1.5432957629913946e-7	2.425377696342046e-8
51	4.289869750797703e-8	-2.109714267648583e-7	-6.037997501075368e-8	-1.493059258445545e-7
52	-2.6084310612030397e-7	2.536710677668773e-7	-1.0284009225098704e-7	1.082890044130158e-7
53	1.5503887979199852e-7	2.7721489574890694e-9	1.4993909154771984e-7	5.105737605331131e-8
54	1.5391479093322135e-7	-2.5921641668636095e-7	-1.630123400648601e-8	-1.6243493928145018e-7
55	-2.835830981211787e-7	2.138540086065453e-7	-1.3479558411098846e-7	8.948389400128001e-8
56	5.736856016466144e-8	8.88203650289395e-8	1.3128453054091303e-7	8.355942813809705e-8
57	2.4912707465885445e-7	-2.8808513045257076e-7	3.190746659642448e-8	-1.6755145761212298e-7
58	-2.5494748070234946e-7	1.5104294937035408e-7	-1.5651583793028418e-7	6.495622834125823e-8
59	-6.122660958699361e-8	1.70576066656647e-7	1.0063250571076545e-7	1.1780555993322499e-7
60	3.1391783920277534e-7	-2.929638208910801e-7	7.711085429411372e-8	-1.6738855835059885e-7
61	-1.7883982875740743e-7	6.331688401013092e-8	-1.6612573140886973e-7	3.162489157770329e-8
62	-1.8721828226019846e-7	2.467611355958132e-7	5.8559821693941995e-8	1.4703789631697515e-7
63	3.337039904465969e-7	-2.6904669536171406e-7	1.1805593763251991e-7	-1.5665308828500189e-7
64	-6.34616728737696e-8	-3.478437396036103e-8	-1.6180827479291834e-7	-5.793583292100363e-9
65	-2.969352073406336e-7	3.010365547805104e-7	1.2633218219945796e-8	1.650216451265335e-7
66	2.9740444185966106e-7	-2.1412695016011165e-7	1.4934430932190367e-7	-1.350144462131894e-7
67	7.756725329098893e-8	-1.375601754610691e-7	-1.4412922256878134e-7	-4.340208309676373e-8
68	-3.669114554879746e-7	3.2843486546707176e-7	-3.3426630916418816e-8	1.7389047493839564e-7
69	2.0568337068590216e-7	-1.2589968593870193e-7	1.724495513565464e-7	-1.0546234975235922e-7
70	2.2136593137216572e-7	-2.3596322314136016e-7	-1.1425196640224989e-7	-7.792713332735513e-8
71	-3.8123491645500024e-7	3.2360428529094395e-7	-8.03483444802016e-8	1.7007518345467307e-7
72	7.136281505995481e-8	-1.822351376838967e-8	1.8314915879311007e-7	-6.771941045623834e-8
73	3.371367099605461e-7	-3.15262710186962e-7	-7.37840814279421e-8	-1.07073464212225e-7
74	-3.355035976347577e-7	2.8035599567843346e-7	-1.2429947337896674e-7	1.5385257413129658e-7
75	-8.664313315850568e-8	1.0433156072858233e-7	1.8348681496734907e-7	-2.8259017665184447e-8
76	4.0818046063165356e-7	-3.711947659969505e-7	-2.981596141405359e-8	-1.2195864320386788e-7
77	-2.321493343559294e-7	1.9608604387388786e-7	-1.5992013679019183e-7	1.263424452750421e-7
