freq	amp_e_x	amp_p_x	amp_e_y	amp_p_y
0.0	1.2008910369094014e-5	2.415153097064317e-6	1.2743224643236106e-6	7.849756206528818e-6
0.000244140625	6.772985834818498e-6	1.2103507384260003e-6	1.2071160913043873e-6	3.9285251900826415e-6
0.00048828125	1.7284457940260102e-6	6.086606679486257e-8	1.0193185470332854e-6	9.39904110706301e-9
0.000732421875	1.8119742264449264e-6	3.579912283080484e-8	6.656194922974686e-7	1.51500263966382e-8
0.0009765625	1.1897693398918394e-6	4.1146711101300444e-8	5.418147349227248e-7	2.3382265081444917e-8
0.001220703125	1.366583386642039e-6	3.51857787320284e-8	1.4200182942976332e-6	9.779012371987343e-9
0.00146484375	2.701090140722541e-7	5.7429646635609743e-8	1.1467431122683854e-6	1.670218467169669e-8
0.001708984375	1.9276354417143823e-7	4.4735197588389216e-8	1.0125511992404245e-6	3.097061948128713e-8
0.001953125	7.660695257269526e-7	4.7342300336300883e-8	9.510936611862131e-7	2.115372928327998e-8
0.002197265625	8.733159443303428e-7	5.507206293618363e-8	5.682945964554949e-7	2.6582578534214847e-8
0.00244140625	1.1747073523524597e-6	1.1120958690006733e-8	1.9818192488969157e-7	1.9600339665115756e-8
0.002685546875	1.6428565244539824e-6	5.9568454043345085e-8	6.071184268645415e-7	2.0474107077659593e-8
0.0029296875	1.7536605684064097e-6	4.970425050125449e-8	5.987222279963753e-7	2.7108149920609023e-8
0.003173828125	1.4891157234427056e-6	3.5305196600747345e-8	2.5701262497026463e-7	1.5456545729887183e-8
0.00341796875	9.920672845334939e-7	2.7002960306418395e-8	4.3132276322610167e-7	2.9451022750828713e-8
0.003662109375	2.5005614204080417e-6	5.17257699694756e-8	5.337580670605419e-7	4.128660546137533e-8
0.00390625	1.808258367375101e-6	4.7480110626095534e-8	2.8350161773975295e-7	8.144781423178647e-9
0.004150390625	1.7073480442018972e-6	2.5842899510143214e-8	4.5740971250179707e-7	4.470390482861335e-8
0.00439453125	1.9620438687235647e-6	3.367042948202814e-8	4.0710373016493814e-7	5.587587845689859e-8
0.004638671875	1.2969181309967937e-7	4.416121341393631e-8	7.052123794299907e-7	1.8230438212433344e-8
0.0048828125	1.2050666470257076e-6	4.7923310062326787e-8	7.375157483024515e-7	2.6145278795753536e-8
0.005126953125	9.952231404134913e-7	6.18364581174678e-8	9.66862822528384e-7	1.1098384623404627e-8
0.00537109375	1.3681362298903402e-6	1.374019362645608e-8	6.348886304397909e-7	1.4011434069901879e-8
0.005615234375	1.6903778091691339e-6	3.4732056791771255e-8	2.795923084220142e-8	2.5862249481904543e-8
0.005859375	1.7283966450990212e-6	2.7449744428141646e-8	6.0100478555162e-7	8.129795554483452e-9
0.006103515625	1.475482422137252e-6	2.9492128702150388e-8	3.6310080469909586e-7	2.3503692727108078e-8
0.00634765625	1.8914872526602733e-6	4.1229819356457316e-8	3.2553799045249803e-7	3.8552646192008434e-8
0.006591796875	2.2510074599386334e-6	2.695071527344915e-8	3.922004242127547e-7	2.9451121394146197e-8
0.0068359375	1.0242323482633052e-6	1.8305080559035677e-8	5.266351028641889e-7	2.5823719823260435e-8
0.007080078125	8.472375696474674e-7	1.162991921956234e-8	3.376220406669355e-7	2.5102955084792828e-8
0.00732421875	1.3875090631185332e-6	3.475658351288219e-8	8.453284967765667e-7	3.377609199882926e-8
0.007568359375	1.4947754286120036e-6	1.9739465147732626e-8	8.27326701535474e-7	5.6473247338179825e-8
0.0078125	1.4340645806308646e-6	8.965949502094457e-9	1.048612669415933e-6	4.8310608376031915e-8
0.008056640625	8.539395447974171e-7	3.130761507144053e-8	4.863609105316343e-7	2.461792584240632e-8
0.00830078125	2.553348953246784e-7	3.7958535834136794e-8	1.9494344163185994e-7	4.3503626178128604e-8
0.008544921875	5.111657339448375e-7	1.6521474557886225e-8	3.3054829924013493e-7	4.0212532026086405e-8
0.0087890625	1.094817368645307e-6	1.0387067304983396e-8	8.198615769597905e-7	5.369743724560091e-8
0.009033203125	5.604842392674921e-7	1.8162373703262806e-8	4.722063592838245e-7	6.72181760095583e-8
0.00927734375	5.288036785766189e-7	2.853195219770562e-8	1.4993561069503682e-7	4.538206862288395e-8
0.009521484375	9.606441740439116e-7	6.032886041564577e-8	7.768416139508614e-7	4.6433457420750924e-8
0.009765625	7.486736846532847e-7	7.459578236438098e-8	3.479231500363999e-7	2.1793489819951827e-8
0.010009765625	1.651833002331147e-6	3.485141825752595e-8	1.3900699571632208e-7	7.909697986726822e-9
0.01025390625	9.419774543913774e-7	1.161315705121282e-8	6.864839273326906e-7	1.731391936473519e-8
0.010498046875	1.3009776474404699e-6	2.6212024995480647e-8	5.410471329792111e-7	1.4969510525566163e-8
0.0107421875	9.748882057640867e-7	5.181177120501627e-8	8.20842261812129e-7	1.204429952002324e-7
0.010986328125	6.846185133464016e-7	7.39405551716571e-8	3.464737338917766e-7	1.5963124353811526e-7
0.01123046875	1.3802592219380906e-6	3.971915879472982e-8	8.190654437896219e-7	5.287647282151001e-8
0.011474609375	8.88307782122822e-7	2.9934414708007016e-8	8.523707264696553e-7	3.9814584712464614e-8
0.01171875	1.0835248237320461e-6	3.239670901161669e-8	8.791906739264929e-7	1.4510862319666078e-8
0.011962890625	1.5558089927140657e-6	9.516592913309267e-8	3.7685728655753874e-7	3.466091385580318e-8
0.01220703125	1.196545277172904e-6	6.734369265263986e-8	1.975394580786436e-7	2.648497991837612e-8
0.012451171875	5.283226018453511e-7	3.1925668148697664e-8	1.2606598132285291e-6	4.4095689662918084e-8
0.0126953125	5.371250618793008e-7	4.925231610420544e-8	1.6046950815857886e-6	3.701919335311033e-8
0.012939453125	9.189640239086274e-7	5.3591534320870074e-8	6.722327750337404e-7	1.0702822609330923e-8
0.01318359375	1.4374048871793955e-6	8.553524931512625e-8	3.8743525632813673e-7	1.4795966165106549e-8
0.013427734375	1.344718885716978e-6	8.074113289148537e-8	7.672554537005934e-7	3.316728111756293e-8
0.013671875	7.299682772376365e-7	2.5159860018968165e-8	4.377984743371106e-7	4.1115446009946865e-8
0.013916015625	1.3209350896072262e-7	1.1448686004180503e-8	1.944878218907794e-7	5.786486192755666e-8
0.01416015625	3.923522689696474e-7	2.7218134388905145e-8	6.556890662305809e-7	5.4455939774575226e-8
0.014404296875	8.830042123702479e-7	3.080685856580713e-8	7.016507802255231e-7	4.048657208424699e-8
0.0146484375	1.0791317690857616e-6	2.3434299255787988e-8	8.242248073888047e-7	4.946872851777713e-8
0.014892578125	1.4627155917375759e-6	2.7962735443630252e-8	5.344529312958051e-7	2.4518539107783167e-8
0.01513671875	2.1396892348364994e-6	4.39876626229102e-8	6.594200752789376e-7	6.40383563318944e-9
0.015380859375	1.7990990126395362e-6	4.3497804108558986e-8	8.716791031678593e-7	1.6561297488880872e-8
0.015625	1.316007122489725e-6	3.3513729432826505e-8	5.789343002154696e-7	3.3683658686864763e-8
0.015869140625	1.0437177744591539e-6	4.295168391291793e-8	2.469695973587657e-7	2.0771127965078356e-8
0.01611328125	1.7565425373092935e-6	3.6990933002028246e-8	4.6989853214920434e-7	1.0514740981365237e-8
0.016357421875	1.9377669574076424e-6	2.770393573469541e-8	4.7283422537737574e-7	1.6523863840719037e-8
0.0166015625	1.0117829585582432e-6	3.344883921788434e-8	6.418935991694167e-7	4.935757777047445e-9
0.016845703125	1.1849471413164402e-7	2.404217369779097e-8	8.471759929991555e-7	1.6397441697913088e-8
0.01708984375	9.639803847150805e-7	3.720141192433511e-8	1.4174117116317972e-6	3.918631398438667e-8
0.017333984375	1.3605430443600775e-6	3.4708666875141957e-8	1.8452213862608305e-6	3.172548464378255e-8
0.017578125	1.557245214553521e-6	2.8006939340029284e-8	1.972841317806253e-6	5.7239612066969155e-8
0.017822265625	1.3857292132315855e-6	1.0824913616066339e-8	1.637930957958178e-6	8.398983201077206e-8
0.01806640625	1.0752317472690255e-6	2.2872440640043247e-8	4.8933067126434e-7	5.625174676682825e-8
0.018310546875	8.675254250047793e-7	2.7796652088657674e-8	5.215774369157613e-7	9.96427767635223e-10
0.0185546875	1.1242431102279205e-6	4.6845229008396555e-8	1.1291073157825224e-6	5.5759259783887994e-8
0.018798828125	4.549023636019209e-7	5.845705559095498e-8	1.412553644136383e-6	6.247181362489162e-8
0.01904296875	2.4051654614002704e-7	6.465677645763373e-8	5.439526142490911e-7	2.292368561788618e-8
0.019287109375	1.982651711880465e-6	7.560677098929092e-8	3.48045102298978e-7	3.0644532299990526e-8
0.01953125	2.397926739624509e-6	4.144058109205777e-8	3.047393713040085e-7	1.8264213543964095e-8
0.019775390625	1.3221725919678127e-6	4.2620837356771044e-8	3.505060859380744e-7	6.904564967128371e-9
0.02001953125	1.372630132157633e-6	5.649908756380575e-8	8.184426569794934e-7	1.3730351714343639e-8
0.020263671875	5.546248658341138e-7	5.7591116872742316e-8	4.165864452732176e-7	1.541357939216308e-8
0.0205078125	5.45838641106897e-7	6.093439425698024e-8	1.3842360744125816e-7	1.6096980151342595e-8
0.020751953125	1.2291198467529032e-6	1.0787444940976536e-7	6.521359558133147e-7	6.008523185223895e-8
0.02099609375	1.3450555757274564e-6	8.299940004884166e-8	2.949713426440697e-7	4.251846129573355e-8
0.021240234375	5.268715336104428e-7	2.793331534331911e-8	1.1687260689215734e-6	2.9991084833448174e-8
0.021484375	7.920569437068383e-7	1.538677918341543e-8	1.0502110196217366e-6	3.796160503640325e-8
0.021728515625	8.322929829396366e-7	5.767351649040285e-8	7.280685807743581e-7	4.2575576732113116e-8
0.02197265625	8.675114885838403e-7	7.372606642862511e-8	2.0456337705183878e-7	4.4542933288907605e-8
0.022216796875	1.7803817359081685e-7	5.484110197337346e-8	5.691969875287482e-7	2.0577925768758454e-8
0.0224609375	6.815665126743576e-7	5.28916860941928e-8	7.849432167924857e-7	4.408713109438608e-8
0.022705078125	9.266076189887537e-7	7.441589384128438e-8	5.573626396181391e-7	4.63092997320326e-8
0.02294921875	8.84277645462661e-7	5.617035087829623e-8	5.548993330196091e-7	4.0838242524518776e-8
0.023193359375	1.8326568944894622e-6	4.138249210053373e-8	8.200020131951351e-7	5.409600406974149e-8
0.0234375	9.765083937065152e-7	5.754578307423165e-8	3.7290983685688347e-7	3.263199223500459e-8
0.023681640625	2.5246784856097963e-6	2.8535374449574675e-8	7.916870068731206e-7	3.4629052624723825e-8
0.02392578125	2.170236247583193e-6	1.3442626189773723e-8	9.105213409186487e-7	8.57472041932409e-9
0.024169921875	7.793962046765924e-7	3.812708027713665e-8	1.264828358309244e-6	3.89801689910894e-8
0.0244140625	1.2161269475051816e-6	3.572469496261926e-8	2.0005450733771644e-6	3.839622471883108e-8
0.024658203125	2.2778586614425227e-7	5.968733959554443e-8	1.1256362874834082e-6	3.610976566366634e-8
0.02490234375	1.4733195543657833e-6	5.697413187246194e-8	5.139754128190875e-7	5.8355097979537835e-8
0.025146484375	1.920237698875529e-6	4.205507500607269e-8	7.002743235156338e-7	3.092289330132481e-8
0.025390625	1.5528027592080105e-6	5.020984906129003e-8	1.041661582136346e-6	1.924317507007811e-8
0.025634765625	1.7727689141235869e-6	5.872536771304304e-8	1.189026941565757e-6	3.7344098928299305e-8
0.02587890625	5.167914107963877e-7	2.0228707001402698e-8	1.0049480785952772e-6	2.25317896538562e-8
0.026123046875	9.545058369655239e-7	4.11257176179213e-8	6.79512382443288e-7	1.3547943348178149e-8
0.0263671875	1.5864781517782717e-6	3.6650179820992085e-8	9.69246255357706e-7	3.190809498636191e-8
0.026611328125	2.2626974904463944e-6	2.3054481362432167e-8	5.583081568613151e-7	2.7004262521903694e-8
0.02685546875	9.393296441526206e-7	6.57308708731679e-8	8.581368414177819e-7	4.717442903763114e-8
0.027099609375	9.844727625785387e-7	6.2862242531586474e-9	1.6510224381644782e-6	5.0688077428433955e-8
0.02734375	1.3879833979266215e-6	5.194418110590074e-8	1.8394008423185234e-6	4.3932325591206015e-8
0.027587890625	1.920516839086239e-6	4.542839388506217e-8	1.2574673385925118e-6	4.263524999851594e-8
0.02783203125	1.5183566428918154e-6	3.1274165277790466e-8	8.738358546856839e-7	2.7972516906846893e-8
0.028076171875	1.9694366627510365e-6	4.504307588283301e-8	1.2034086893034246e-6	2.983469840908612e-8
0.0283203125	1.2880791344238217e-6	9.351692772578208e-8	1.0073667866834714e-6	3.6045457749277086e-8
0.028564453125	1.5343279315387122e-6	6.410706866645924e-8	3.695799310804432e-7	2.3981523241081693e-8
0.02880859375	1.4313142574717367e-6	1.5629148653760766e-8	1.9683214139067881e-7	2.8374542183926666e-9
0.029052734375	2.4315885874254693e-7	4.0935730795163326e-8	1.8327324478811473e-7	2.2656523408723555e-8
0.029296875	5.263892207962475e-7	7.738715252299897e-8	5.816934249026309e-7	3.494836766037085e-8
