seed	aspect	turns	n_macro	Lambda_x	Lambda_y	q_sigma_x	q_sigma_y	xi_y
20260727	0.09	8192	100000	1.2712607244056984	1.2292450972944375	0.31000180658128784	0.3199989932356764	0.05555555555555557
20260728	0.09	8192	100000	1.2673410223257187	1.2293265947525556	0.3100017912223329	0.31999919109119646	0.05555555555555557
20260729	0.09	8192	100000	1.2616829495106674	1.2277610963181047	0.31000180288203266	0.31999912342812586	0.05555555555555557
