# Kick-error systematic/fluctuation split, 81x81 field grid +-4 sigma,
# median over field points, normalized by peak exact kick.
# R independent source realizations per row.
family	grid	deposit	n_macro	R	bias	fluctuation	total_median	bias_floor_bootstrap	bias_floor_rayleigh	bias_floor_bootstrap_uncentered
round	64	CIC	100000	100	0.0004770468456491931	0.0013605073657157185	0.0012053030213312471	0.00010599293801189817	0.00011326966808406336	0.00011651303411609407
round	64	TSC	100000	100	0.0005163989687954121	0.001341982930315937	0.0012014677683691469	0.00010490380416781114	0.00011172740767294526	0.00011779250094396819
round	128	CIC	100000	100	0.000178042990672574	0.0014225638554085987	0.0011742036569328497	0.0001106317024747036	0.00011843620974867012	0.0001119196369124866
round	128	TSC	100000	100	0.00018619822512778091	0.0014114449806495262	0.0011662783768243393	0.00011031330081647119	0.00011751050270351505	0.00011171767261748248
round	256	CIC	100000	100	0.00013751029929782806	0.0014893665260939642	0.0012242939236847446	0.00011513155512506718	0.00012399789690034513	0.00011628795562404717
round	256	TSC	100000	100	0.00013860225943248714	0.0014782775779963477	0.001219699760109853	0.00011464041628180994	0.00012307468141318923	0.00011591777399890755
flat11	64	CIC	100000	100	0.001514608854205661	0.0025902196997301895	0.002589588410060357	0.00018314962352031726	0.00021564993549218764	0.0002232389661150282
flat11	64	TSC	100000	100	0.0020077726507624614	0.00250470388415537	0.0027977407514517953	0.0001780001608265996	0.00020853027683381492	0.00023174981063409973
flat11	128	CIC	100000	100	0.0004573882551073056	0.0028695979934316345	0.002453449492703546	0.00020278285760130463	0.0002389097041600384	0.00020675470906749246
flat11	128	TSC	100000	100	0.0005709285294437115	0.0028147804585167933	0.002438806756000858	0.00019989079895543738	0.0002343458450134735	0.00020568739119978098
flat11	256	CIC	100000	100	0.00025515823911075026	0.0030893271231330296	0.002615360984955724	0.0002176960497053815	0.0002572033541738948	0.00021808978522623856
flat11	256	TSC	100000	100	0.00026423096029357275	0.003050018961518888	0.0025716121465571245	0.00021476829010120646	0.0002539307350530963	0.0002160598852593012
