turn	ele_ex	ele_ey	pro_ex	pro_ey
1152	2.27665800e-08	1.67674000e-09	1.13610800e-08	1.00927600e-09
1168	2.27349200e-08	1.67841000e-09	1.13595700e-08	1.00943600e-09
1184	2.27400700e-08	1.67274500e-09	1.13566200e-08	1.00918800e-09
1200	2.27103500e-08	1.67306900e-09	1.13577600e-08	1.00949000e-09
1216	2.27041200e-08	1.67363800e-09	1.13599700e-08	1.00933800e-09
1232	2.27355400e-08	1.67273400e-09	1.13622400e-08	1.00935500e-09
1248	2.27970100e-08	1.67110300e-09	1.13626600e-08	1.00961600e-09
1264	2.27811800e-08	1.67313000e-09	1.13623500e-08	1.00961100e-09
1280	2.27570500e-08	1.67168900e-09	1.13596600e-08	1.01003200e-09
1296	2.27613500e-08	1.67256700e-09	1.13593700e-08	1.00965600e-09
1312	2.27558500e-08	1.66969800e-09	1.13610600e-08	1.00916000e-09
1328	2.27455600e-08	1.66964400e-09	1.13602000e-08	1.00990400e-09
1344	2.27603400e-08	1.67057900e-09	1.13591500e-08	1.00949200e-09
1360	2.27537700e-08	1.66958900e-09	1.13576600e-08	1.00956000e-09
1376	2.27703500e-08	1.66960700e-09	1.13594500e-08	1.00937400e-09
1392	2.27635600e-08	1.66947100e-09	1.13615700e-08	1.00979200e-09
1408	2.27432200e-08	1.67042200e-09	1.13655000e-08	1.00949000e-09
1424	2.27525200e-08	1.67299900e-09	1.13645100e-08	1.00976200e-09
1440	2.27796500e-08	1.67380200e-09	1.13592300e-08	1.00971200e-09
1456	2.27694800e-08	1.67462300e-09	1.13590900e-08	1.00931600e-09
1472	2.27646200e-08	1.67447700e-09	1.13593600e-08	1.01027400e-09
1488	2.27896900e-08	1.66924800e-09	1.13603700e-08	1.00935100e-09
1504	2.28282800e-08	1.66787500e-09	1.13596000e-08	1.00961300e-09
1520	2.27779200e-08	1.66360400e-09	1.13591500e-08	1.00980400e-09
1536	2.28307500e-08	1.66399500e-09	1.13592400e-08	1.00927400e-09
1552	2.28079600e-08	1.66729100e-09	1.13604700e-08	1.01010300e-09
1568	2.27938500e-08	1.66719500e-09	1.13606600e-08	1.00948500e-09
1584	2.27501000e-08	1.66961200e-09	1.13607600e-08	1.00992400e-09
1600	2.27017000e-08	1.67238900e-09	1.13610300e-08	1.00994400e-09
1616	2.26956700e-08	1.67412800e-09	1.13634200e-08	1.00953500e-09
1632	2.27134800e-08	1.67363900e-09	1.13613700e-08	1.00945000e-09
1648	2.26508000e-08	1.67448600e-09	1.13582000e-08	1.01005700e-09
1664	2.26522000e-08	1.67622700e-09	1.13600200e-08	1.00933100e-09
1680	2.26172300e-08	1.67025000e-09	1.13640900e-08	1.01049800e-09
1696	2.26233400e-08	1.67094900e-09	1.13641500e-08	1.00945400e-09
1712	2.26286600e-08	1.67042000e-09	1.13622400e-08	1.00966500e-09
1728	2.26163400e-08	1.66821900e-09	1.13618500e-08	1.01050100e-09
1744	2.26359200e-08	1.66774500e-09	1.13616300e-08	1.00932900e-09
1760	2.25868300e-08	1.66965500e-09	1.13608000e-08	1.00962200e-09
1776	2.25990000e-08	1.67010500e-09	1.13613000e-08	1.00999100e-09
1792	2.25719500e-08	1.67021900e-09	1.13619600e-08	1.00984900e-09
1808	2.26325700e-08	1.66919700e-09	1.13604200e-08	1.00995800e-09
1824	2.26437400e-08	1.66949400e-09	1.13627300e-08	1.00978400e-09
1840	2.26083900e-08	1.66670200e-09	1.13637000e-08	1.00973700e-09
1856	2.25615100e-08	1.66915800e-09	1.13616100e-08	1.00984000e-09
1872	2.25273500e-08	1.67442000e-09	1.13637600e-08	1.00977700e-09
1888	2.25470500e-08	1.67428400e-09	1.13637800e-08	1.00976500e-09
1904	2.25462900e-08	1.67322600e-09	1.13630900e-08	1.00974100e-09
1920	2.25543900e-08	1.67230900e-09	1.13652700e-08	1.00929300e-09
1936	2.25192700e-08	1.67506500e-09	1.13635000e-08	1.01006400e-09
1952	2.25005500e-08	1.67370300e-09	1.13634100e-08	1.00950200e-09
1968	2.24840800e-08	1.67254200e-09	1.13629300e-08	1.00957000e-09
1984	2.24910400e-08	1.67412500e-09	1.13616100e-08	1.00974400e-09
2000	2.25257500e-08	1.67557100e-09	1.13623400e-08	1.00980000e-09
2016	2.25312100e-08	1.67659200e-09	1.13618400e-08	1.01033200e-09
2032	2.25507300e-08	1.67380000e-09	1.13648500e-08	1.00959300e-09
2048	2.25297900e-08	1.67519400e-09	1.13665700e-08	1.01003500e-09
2064	2.25346100e-08	1.67684400e-09	1.13645800e-08	1.00973600e-09
2080	2.25448600e-08	1.67498000e-09	1.13630900e-08	1.00975500e-09
2096	2.25241000e-08	1.67625400e-09	1.13658700e-08	1.01023400e-09
2112	2.25403000e-08	1.67630900e-09	1.13660800e-08	1.01019500e-09
2128	2.26109400e-08	1.67618500e-09	1.13637100e-08	1.00935400e-09
2144	2.26584600e-08	1.67516600e-09	1.13638600e-08	1.01024300e-09
2160	2.26455300e-08	1.67106100e-09	1.13664600e-08	1.00972000e-09
2176	2.26170000e-08	1.67035600e-09	1.13644700e-08	1.01023300e-09
2192	2.25791000e-08	1.67202700e-09	1.13629400e-08	1.00965400e-09
2208	2.25696800e-08	1.67324300e-09	1.13624900e-08	1.01008500e-09
2224	2.25787200e-08	1.67281400e-09	1.13646900e-08	1.00976900e-09
2240	2.25705700e-08	1.67033400e-09	1.13652600e-08	1.01011200e-09
2256	2.25438400e-08	1.67301400e-09	1.13674200e-08	1.01016000e-09
2272	2.25465000e-08	1.67056700e-09	1.13703400e-08	1.01012600e-09
2288	2.25850200e-08	1.66859300e-09	1.13678900e-08	1.01000400e-09
2304	2.25456600e-08	1.66876000e-09	1.13663600e-08	1.01021300e-09
2320	2.25412500e-08	1.66614800e-09	1.13644300e-08	1.01000200e-09
2336	2.25870800e-08	1.66693500e-09	1.13633800e-08	1.01013400e-09
2352	2.25896100e-08	1.67060700e-09	1.13627300e-08	1.01001600e-09
2368	2.25868200e-08	1.67383500e-09	1.13660500e-08	1.00999600e-09
2384	2.26257700e-08	1.67028500e-09	1.13707300e-08	1.00985500e-09
2400	2.25986000e-08	1.67173000e-09	1.13688600e-08	1.00997800e-09
2416	2.26082200e-08	1.67011600e-09	1.13638200e-08	1.01000800e-09
2432	2.26029300e-08	1.67052200e-09	1.13641100e-08	1.01033400e-09
2448	2.26239800e-08	1.66984700e-09	1.13625500e-08	1.01023300e-09
2464	2.26112900e-08	1.66855400e-09	1.13654400e-08	1.00992600e-09
2480	2.26111400e-08	1.66764400e-09	1.13698800e-08	1.00995100e-09
2496	2.25841300e-08	1.66686500e-09	1.13710900e-08	1.01001500e-09
2512	2.26121100e-08	1.66463600e-09	1.13686600e-08	1.01010000e-09
2528	2.26173800e-08	1.66546100e-09	1.13670500e-08	1.00990700e-09
2544	2.26300500e-08	1.66043700e-09	1.13698000e-08	1.01018700e-09
2560	2.26502500e-08	1.66056600e-09	1.13680100e-08	1.00997700e-09
2576	2.27004300e-08	1.66077200e-09	1.13649800e-08	1.01027400e-09
2592	2.27455200e-08	1.66374900e-09	1.13663800e-08	1.01002900e-09
2608	2.27658200e-08	1.66569100e-09	1.13655500e-08	1.00990300e-09
2624	2.28027300e-08	1.66625700e-09	1.13658100e-08	1.00999800e-09
2640	2.27929100e-08	1.66336200e-09	1.13636600e-08	1.01040000e-09
2656	2.27503800e-08	1.66844200e-09	1.13630000e-08	1.00951600e-09
2672	2.27429000e-08	1.67322000e-09	1.13672000e-08	1.01008500e-09
2688	2.27010600e-08	1.67308400e-09	1.13686800e-08	1.01021600e-09
2704	2.26900600e-08	1.67311000e-09	1.13666300e-08	1.01009600e-09
2720	2.26706500e-08	1.67662100e-09	1.13660900e-08	1.01010400e-09
2736	2.26496300e-08	1.67322000e-09	1.13661500e-08	1.01022900e-09
2752	2.26459600e-08	1.67250600e-09	1.13681500e-08	1.01002700e-09
2768	2.26125600e-08	1.67067300e-09	1.13682100e-08	1.01012100e-09
2784	2.26325500e-08	1.67305300e-09	1.13671400e-08	1.01002600e-09
2800	2.26356300e-08	1.67459000e-09	1.13694900e-08	1.01006400e-09
