# Kick-error systematic/fluctuation split, 81x81 field grid +-4 sigma,
# median over field points, normalized by peak exact kick.
# R independent source realizations per row.
family	grid	deposit	n_macro	R	bias	fluctuation	total_median	bias_floor
round	64	CIC	100000	100	0.0004535198124459578	0.0013316511463818317	0.001173548591329514	0.00011086723023736283
round	64	TSC	100000	100	0.000503816137594483	0.0013151202661213285	0.00117798220185063	0.00010949094417862505
round	128	CIC	100000	100	0.00013318689476439328	0.0014003322431563388	0.001152245493506685	0.00011658530661926123
round	128	TSC	100000	100	0.0001378749745467079	0.0013881225487589095	0.001146040938052942	0.00011556878288212062
flat11	64	CIC	100000	100	0.0015972057506957852	0.0026060305937167286	0.002610401943853115	0.0002169662787616895
flat11	64	TSC	100000	100	0.0021036299792570384	0.002522404933600819	0.002803874412775082	0.0002100039858676288
flat11	128	CIC	100000	100	0.0004922469159361967	0.002854419906173906	0.0024071567821084836	0.0002376460455065408
flat11	128	TSC	100000	100	0.0006039276915461482	0.002815258526262004	0.0023797832234277528	0.0002343856467640456
